run,chamber,wheel,sector,station,avg_cluster_size,occupancy,avg_bx_dist,avg_no_of_clusters,avg_multiplicity,lumisections,type,avg_efficiency
321475,W-2_RB1in_S01,-2,1,1,1.88926,85729,0.0065672,1.00394,1.8967,2091,Col,53.435920715500004
321475,W-2_RB1out_S01,-2,1,1,1.83989,75899,0.00686027,1.00387,1.84701,2091,Col,58.8741340635
321475,W-2_RB2in_S01,-2,1,2,1.99387,91026,0.00696559,1.00391,2.00167,2091,Col,81.179763794
321475,W-2_RB2out_S01,-2,1,2,1.85097,78148,0.0110137,1.00278,1.85611,2091,Col,84.280207316
321475,W-2_RB3+_S01,-2,1,3,1.86637,36803,0.00436128,1.00107,1.86836,2091,Col,92.292915344
321475,W-2_RB3-_S01,-2,1,3,1.87483,37296,0.00427286,1.00101,1.87672,2091,Col,92.3287887575
321475,W-2_RB4+_S01,-2,1,4,1.89708,36018,0.00458232,1.00164,1.90018,2091,Col,63.07854080199999
321475,W-2_RB4-_S01,-2,1,4,0.0,0,0.0,0.0,0.0,2091,Col,0.0
321475,W-2_RB1in_S02,-2,2,1,1.96907,97097,0.00537405,1.0042,1.97733,2091,Col,55.555019379
321475,W-2_RB1out_S02,-2,2,1,2.15788,96345,0.00680882,1.00391,2.16632,2091,Col,60.5726909635
321475,W-2_RB2in_S02,-2,2,2,1.80989,86518,0.00393281,1.0038,1.81677,2091,Col,81.933288574
321475,W-2_RB2out_S02,-2,2,2,2.26951,98930,0.0134202,1.00299,2.27629,2091,Col,84.86114756266666
321475,W-2_RB3+_S02,-2,2,3,0.0,0,0.0,0.0,0.0,2091,Col,0.0
321475,W-2_RB3-_S02,-2,2,3,1.68513,34621,0.00340716,1.00078,1.68644,2091,Col,92.006023407
321475,W-2_RB4+_S02,-2,2,4,1.80138,36332,0.00461104,1.00179,1.8046,2091,Col,56.284761429
321475,W-2_RB4-_S02,-2,2,4,1.72116,30838,0.0082045,1.00117,1.72318,2091,Col,48.75
321475,W-2_RB1in_S03,-2,3,1,2.0379,95875,0.00709943,1.00401,2.04608,2091,Col,54.8827934265
321475,W-2_RB1out_S03,-2,3,1,2.07303,88939,0.00897373,1.00332,2.07991,2091,Col,58.639804840500005
321475,W-2_RB2in_S03,-2,3,2,2.14303,97317,0.00640814,1.00367,2.15089,2091,Col,78.5803146365
321475,W-2_RB2out_S03,-2,3,2,2.00616,86010,0.00781378,1.00278,2.01174,2091,Col,84.277114868
321475,W-2_RB3+_S03,-2,3,3,1.6318,28674,0.00500797,1.00137,1.63403,2091,Col,82.174194336
321475,W-2_RB3-_S03,-2,3,3,0.0,0,0.0,0.0,0.0,2091,Col,0.0
321475,W-2_RB4+_S03,-2,3,4,1.72062,32413,0.00541459,1.00138,1.723,2091,Col,67.843896866
321475,W-2_RB4-_S03,-2,3,4,1.87289,35023,0.00914439,1.00118,1.87509,2091,Col,56.666666031
321475,W-2_RB1in_S04,-2,4,1,2.02379,92807,0.00734877,1.0039,2.03168,2091,Col,54.067209244
321475,W-2_RB1out_S04,-2,4,1,2.31586,96238,0.00753201,1.00357,2.32414,2091,Col,59.1975917815
321475,W-2_RB2in_S04,-2,4,2,2.02289,88827,0.017786,1.00352,2.03001,2091,Col,80.38668441749999
321475,W-2_RB2out_S04,-2,4,2,1.93006,73871,0.00655798,1.00238,1.93466,2091,Col,79.18560282400001
321475,W-2_RB3+_S04,-2,4,3,2.33001,45391,0.00513321,1.00113,2.33265,2091,Col,93.01545333850001
321475,W-2_RB3-_S04,-2,4,3,1.82109,34914,0.00547674,1.00089,1.82271,2091,Col,91.154571533
