chamber,contains_zero_roll,rolls_count,fid_eff_ch_level
W-2_RB1in_S01,0,2,95.9734115600586
W-2_RB1out_S01,0,2,97.45018005371094
W-2_RB2in_S01,0,2,97.7798843383789
W-2_RB2out_S01,0,3,97.83074188232422
W-2_RB3-_S01,0,2,97.85568618774414
W-2_RB3+_S01,0,2,97.82706451416016
W-2_RB4-_S01,1,2,0.0
W-2_RB4+_S01,1,2,50.0
W-2_RB4--_S01,1,2,0.0
W-2_RB4++_S01,1,2,0.0
W-2_RB1in_S02,0,2,95.54069519042969
W-2_RB1out_S02,0,2,97.27492904663086
W-2_RB2in_S02,0,2,97.10258865356445
W-2_RB2out_S02,0,3,97.98702494303386
W-2_RB3-_S02,0,2,96.5855598449707
W-2_RB3+_S02,1,2,0.0
W-2_RB4-_S02,0,2,90.0
W-2_RB4+_S02,0,2,97.10827255249023
W-2_RB4--_S02,1,2,0.0
W-2_RB4++_S02,1,2,0.0
W-2_RB1in_S03,0,2,96.98624801635742
W-2_RB1out_S03,0,2,97.05380249023438
W-2_RB2in_S03,0,2,95.40226364135742
W-2_RB2out_S03,0,3,97.33726247151692
W-2_RB3-_S03,1,2,0.0
W-2_RB3+_S03,0,2,86.73676681518555
W-2_RB4-_S03,0,2,89.60211563110352
W-2_RB4+_S03,0,2,95.15251541137695
W-2_RB4--_S03,1,2,0.0
W-2_RB4++_S03,1,2,0.0
W-2_RB1in_S04,0,2,97.24419403076172
W-2_RB1out_S04,0,2,97.83921813964844
W-2_RB2in_S04,0,2,97.44944381713867
W-2_RB2out_S04,0,3,93.40194956461589
W-2_RB3-_S04,0,2,96.09660339355469
W-2_RB3+_S04,0,2,98.93710327148438
W-2_RB4-_S04,1,2,0.0
W-2_RB4+_S04,0,2,97.32425308227539
W-2_RB4--_S04,0,2,93.60795211791992
W-2_RB4++_S04,0,2,90.39215850830078
W-2_RB1in_S05,0,2,96.58611679077148
W-2_RB1out_S05,0,2,97.40658950805664
W-2_RB2in_S05,0,2,94.6537857055664
W-2_RB2out_S05,0,3,97.97452290852864
W-2_RB3-_S05,0,2,96.94656753540039
W-2_RB3+_S05,0,2,97.16681289672852
W-2_RB4-_S05,1,2,0.0
W-2_RB4+_S05,0,2,94.09732818603516
W-2_RB4--_S05,1,2,0.0
