chamber,fid_eff_ch_level
W-2_RB1in_S01,96.38192367553711
W-2_RB1out_S01,97.22332763671875
W-2_RB2in_S01,97.78257369995117
W-2_RB2out_S01,98.16899871826172
W-2_RB3-_S01,97.68513870239258
W-2_RB3+_S01,98.20272064208984
W-2_RB4-_S01,0.0
W-2_RB4+_S01,100.0
W-2_RB4--_S01,0.0
W-2_RB4++_S01,0.0
W-2_RB1in_S02,95.98299407958984
W-2_RB1out_S02,97.53140640258789
W-2_RB2in_S02,97.93917465209961
W-2_RB2out_S02,98.1717020670573
W-2_RB3-_S02,96.79921340942383
W-2_RB3+_S02,0.0
W-2_RB4-_S02,90.50387191772461
W-2_RB4+_S02,98.04302215576172
W-2_RB4--_S02,0.0
W-2_RB4++_S02,0.0
W-2_RB1in_S03,96.94944763183594
W-2_RB1out_S03,97.8219223022461
W-2_RB2in_S03,94.90348434448242
W-2_RB2out_S03,97.73905181884766
W-2_RB3-_S03,0.0
W-2_RB3+_S03,88.74961853027344
W-2_RB4-_S03,91.97174453735352
W-2_RB4+_S03,97.12056732177734
W-2_RB4--_S03,0.0
W-2_RB4++_S03,0.0
W-2_RB1in_S04,97.26331329345703
W-2_RB1out_S04,97.82337188720703
W-2_RB2in_S04,96.9108772277832
W-2_RB2out_S04,94.17308044433594
W-2_RB3-_S04,96.43854522705078
W-2_RB3+_S04,99.40495300292969
W-2_RB4-_S04,0.0
W-2_RB4+_S04,98.19306182861328
W-2_RB4--_S04,96.00785064697266
W-2_RB4++_S04,89.53488159179688
W-2_RB1in_S05,96.93864059448242
W-2_RB1out_S05,96.76720428466797
W-2_RB2in_S05,94.55823516845703
W-2_RB2out_S05,97.56464385986328
W-2_RB3-_S05,97.45486450195312
W-2_RB3+_S05,96.02784729003906
W-2_RB4-_S05,0.0
W-2_RB4+_S05,94.70257568359375
W-2_RB4--_S05,0.0
W-2_RB4++_S05,0.0
W-2_RB1in_S06,97.05186080932617
W-2_RB1out_S06,97.53847122192383
W-2_RB2in_S06,98.68171310424805
W-2_RB2out_S06,98.21165466308594
W-2_RB3-_S06,97.57437133789062
W-2_RB3+_S06,98.15630340576172
W-2_RB4-_S06,91.0700454711914
W-2_RB4+_S06,95.74468231201172
W-2_RB4--_S06,0.0
W-2_RB4++_S06,0.0
W-2_RB1in_S07,97.26992797851562
W-2_RB1out_S07,97.8538703918457
W-2_RB2in_S07,89.91084671020508
W-2_RB2out_S07,97.89535776774089
W-2_RB3-_S07,97.47982788085938
W-2_RB3+_S07,96.89702987670898
W-2_RB4-_S07,0.0
W-2_RB4+_S07,96.875
W-2_RB4--_S07,0.0
W-2_RB4++_S07,0.0
W-2_RB1in_S08,95.9123649597168
W-2_RB1out_S08,82.28314590454102
W-2_RB2in_S08,97.2135238647461
W-2_RB2out_S08,98.32661946614583
W-2_RB3-_S08,98.75402450561523
W-2_RB3+_S08,97.9423599243164
W-2_RB4-_S08,92.44556427001953
W-2_RB4+_S08,0.0
W-2_RB4--_S08,0.0
W-2_RB4++_S08,0.0
W-2_RB1in_S09,95.91827011108398
W-2_RB1out_S09,96.84391021728516
W-2_RB2in_S09,97.02288055419922
W-2_RB2out_S09,95.84867350260417
W-2_RB3-_S09,97.73884963989258
W-2_RB3+_S09,94.4913330078125
W-2_RB4_S09,96.45182800292969
W-2_RB4+_S09,0.0
W-2_RB4--_S09,0.0
W-2_RB4++_S09,0.0
W-2_RB1in_S10,96.70331192016602
W-2_RB1out_S10,94.90978622436523
W-2_RB2in_S10,99.10103607177734
W-2_RB2out_S10,98.39338938395183
W-2_RB3-_S10,92.12100219726562
W-2_RB3+_S10,97.42559432983398
W-2_RB4-_S10,97.6902847290039
W-2_RB4+_S10,96.87857818603516
W-2_RB4--_S10,0.0
W-2_RB4++_S10,0.0
