chamber,fid_eff_roll_level
W-2_RB1in_B_S01,96.11111450195312
W-2_RB1in_F_S01,99.0740737915039
W-2_RB1out_B_S01,95.71427917480469
W-2_RB1out_F_S01,98.07691955566406
W-2_RB2in_B_S01,98.16124725341797
W-2_RB2in_F_S01,99.05660247802734
W-2_RB2out_M_S01,99.54338073730469
W-2_RB2out_B_S01,97.22222137451172
W-2_RB2out_F_S01,98.15950775146484
W-2_RB3-_B_S01,97.53520965576172
W-2_RB3-_F_S01,98.8416976928711
W-2_RB3+_B_S01,96.20853424072266
W-2_RB3+_F_S01,99.5594711303711
W-2_RB4-_B_S01,0.0
W-2_RB4-_F_S01,0.0
W-2_RB4+_B_S01,100.0
W-2_RB4+_F_S01,0.0
W-2_RB4--_B_S01,0.0
W-2_RB4--_F_S01,0.0
W-2_RB4++_B_S01,0.0
W-2_RB4++_F_S01,0.0
W-2_RB1in_B_S02,93.25301361083984
W-2_RB1in_F_S02,96.0264892578125
W-2_RB1out_B_S02,95.82463836669922
W-2_RB1out_F_S02,99.6865234375
W-2_RB2in_B_S02,98.63201141357422
W-2_RB2in_F_S02,96.52174377441406
W-2_RB2out_M_S02,96.62921142578125
W-2_RB2out_B_S02,97.6401138305664
W-2_RB2out_F_S02,99.39759063720703
W-2_RB3-_B_S02,97.26026916503906
W-2_RB3-_F_S02,96.53845977783203
W-2_RB3+_B_S02,0.0
W-2_RB3+_F_S02,0.0
W-2_RB4-_B_S02,100.0
W-2_RB4-_F_S02,0.0
W-2_RB4+_B_S02,96.0
W-2_RB4+_F_S02,100.0
W-2_RB4--_B_S02,0.0
W-2_RB4--_F_S02,0.0
W-2_RB4++_B_S02,0.0
W-2_RB4++_F_S02,0.0
W-2_RB1in_B_S03,98.5
W-2_RB1in_F_S03,98.4756088256836
W-2_RB1out_B_S03,97.52809143066406
W-2_RB1out_F_S03,98.56733703613281
W-2_RB2in_B_S03,98.85993957519531
W-2_RB2in_F_S03,90.04149627685547
W-2_RB2out_M_S03,98.69451904296875
W-2_RB2out_B_S03,98.01324462890625
W-2_RB2out_F_S03,98.78787994384766
W-2_RB3-_B_S03,0.0
W-2_RB3-_F_S03,0.0
W-2_RB3+_B_S03,75.41899871826172
W-2_RB3+_F_S03,97.98995208740234
W-2_RB4-_B_S03,100.0
W-2_RB4-_F_S03,82.58706665039062
W-2_RB4+_B_S03,94.93671417236328
W-2_RB4+_F_S03,98.07691955566406
W-2_RB4--_B_S03,0.0
W-2_RB4--_F_S03,0.0
W-2_RB4++_B_S03,0.0
W-2_RB4++_F_S03,0.0
W-2_RB1in_B_S04,96.42857360839844
W-2_RB1in_F_S04,97.6744155883789
W-2_RB1out_B_S04,98.82075500488281
W-2_RB1out_F_S04,97.34042358398438
W-2_RB2in_B_S04,96.03960418701172
W-2_RB2in_F_S04,98.77049255371094
W-2_RB2out_M_S04,89.63585662841797
W-2_RB2out_B_S04,91.05431365966797
W-2_RB2out_F_S04,99.40828704833984
W-2_RB3-_B_S04,99.3442611694336
W-2_RB3-_F_S04,93.26922607421875
W-2_RB3+_B_S04,99.55555725097656
W-2_RB3+_F_S04,98.75
W-2_RB4-_B_S04,0.0
W-2_RB4-_F_S04,0.0
W-2_RB4+_B_S04,97.22222137451172
W-2_RB4+_F_S04,98.47328186035156
W-2_RB4--_B_S04,100.0
W-2_RB4--_F_S04,96.875
W-2_RB4++_B_S04,96.0
W-2_RB4++_F_S04,80.1980209350586
W-2_RB1in_B_S05,94.1475830078125
W-2_RB1in_F_S05,99.07120513916016
W-2_RB1out_B_S05,98.67841339111328
W-2_RB1out_F_S05,96.99700164794922
W-2_RB2in_B_S05,91.39633178710938
W-2_RB2in_F_S05,97.77777862548828
W-2_RB2out_M_S05,97.8208236694336
W-2_RB2out_B_S05,96.96048736572266
W-2_RB2out_F_S05,98.9417953491211
W-2_RB3-_B_S05,97.44525909423828
W-2_RB3-_F_S05,98.38710021972656
W-2_RB3+_B_S05,96.80364990234375
W-2_RB3+_F_S05,100.0
W-2_RB4-_B_S05,0.0
W-2_RB4-_F_S05,0.0
W-2_RB4+_B_S05,0.0
W-2_RB4+_F_S05,0.0
W-2_RB4--_B_S05,0.0
W-2_RB4--_F_S05,0.0
W-2_RB4++_B_S05,0.0
W-2_RB4++_F_S05,0.0
W-2_RB1in_B_S06,95.37036895751953
W-2_RB1in_F_S06,98.31649780273438
W-2_RB1out_B_S06,98.27586364746094
W-2_RB1out_F_S06,93.91304016113281
W-2_RB2in_B_S06,98.65269470214844
W-2_RB2in_F_S06,98.77049255371094
W-2_RB2out_M_S06,97.8155288696289
W-2_RB2out_B_S06,99.36102294921875
W-2_RB2out_F_S06,98.83721160888672
W-2_RB3-_B_S06,97.3880615234375
W-2_RB3-_F_S06,98.2062759399414
W-2_RB3+_B_S06,99.51219177246094
W-2_RB3+_F_S06,97.44680786132812
W-2_RB4-_B_S06,98.38710021972656
W-2_RB4-_F_S06,86.66666412353516
W-2_RB4+_B_S06,100.0
W-2_RB4+_F_S06,100.0
W-2_RB4--_B_S06,0.0
W-2_RB4--_F_S06,0.0
W-2_RB4++_B_S06,0.0
W-2_RB4++_F_S06,0.0
W-2_RB1in_B_S07,94.9008560180664
W-2_RB1in_F_S07,98.65771484375
W-2_RB1out_B_S07,96.81372833251953
W-2_RB1out_F_S07,96.17646789550781
W-2_RB2in_B_S07,99.38650512695312
W-2_RB2in_F_S07,81.51260375976562
W-2_RB2out_M_S07,98.09069061279297
W-2_RB2out_B_S07,98.70549774169922
W-2_RB2out_F_S07,98.82353210449219
W-2_RB3-_B_S07,97.96748352050781
W-2_RB3-_F_S07,98.8142318725586
W-2_RB3+_B_S07,96.46017456054688
W-2_RB3+_F_S07,97.60765075683594
W-2_RB4-_B_S07,0.0
W-2_RB4-_F_S07,0.0
W-2_RB4+_B_S07,100.0
W-2_RB4+_F_S07,0.0
W-2_RB4--_B_S07,0.0
W-2_RB4--_F_S07,0.0
W-2_RB4++_B_S07,0.0
W-2_RB4++_F_S07,0.0
W-2_RB1in_B_S08,97.855224609375
W-2_RB1in_F_S08,95.84664916992188
W-2_RB1out_B_S08,78.64923095703125
W-2_RB1out_F_S08,83.7423324584961
W-2_RB2in_B_S08,97.58307647705078
W-2_RB2in_F_S08,96.66666412353516
W-2_RB2out_M_S08,98.17351531982422
W-2_RB2out_B_S08,98.23943328857422
W-2_RB2out_F_S08,98.9071044921875
W-2_RB3-_B_S08,98.93617248535156
W-2_RB3-_F_S08,99.60317993164062
W-2_RB3+_B_S08,98.28326416015625
W-2_RB3+_F_S08,97.1962661743164
W-2_RB4-_B_S08,93.442626953125
W-2_RB4-_F_S08,100.0
W-2_RB4+_B_S08,0.0
W-2_RB4+_F_S08,0.0
W-2_RB4--_B_S08,0.0
W-2_RB4--_F_S08,0.0
W-2_RB4++_B_S08,0.0
W-2_RB4++_F_S08,0.0
W-2_RB1in_B_S09,94.75065612792969
W-2_RB1in_F_S09,97.13375854492188
W-2_RB1out_B_S09,95.97315216064453
W-2_RB1out_F_S09,97.88520050048828
W-2_RB2in_B_S09,98.56230163574219
W-2_RB2in_F_S09,94.44444274902344
W-2_RB2out_M_S09,96.85230255126953
W-2_RB2out_B_S09,96.71533203125
W-2_RB2out_F_S09,97.19100952148438
W-2_RB3-_B_S09,97.85408020019531
W-2_RB3-_F_S09,98.2532730102539
W-2_RB3+_B_S09,95.28302001953125
W-2_RB3+_F_S09,94.4186019897461
W-2_RB4-_B_S09,89.70588684082031
W-2_RB4-_F_S09,96.15384674072266
W-2_RB4+_B_S09,0.0
W-2_RB4+_F_S09,0.0
W-2_RB4--_B_S09,0.0
W-2_RB4--_F_S09,0.0
W-2_RB4++_B_S09,0.0
W-2_RB4++_F_S09,0.0
W-2_RB1in_B_S10,96.48241424560547
W-2_RB1in_F_S10,98.52070617675781
W-2_RB1out_B_S10,91.76200866699219
W-2_RB1out_F_S10,98.83721160888672
W-2_RB2in_B_S10,99.09228515625
W-2_RB2in_F_S10,99.5884780883789
