run,chamber,wheel,sector,station,avg_cluster_size,occupancy,avg_bx_dist,avg_no_of_clusters,avg_multiplicity,lumisections,type,avg_efficiency
323857,W-2_RB1in_S01,-2,1,1,1.9222,17492,0.00681319,1.00497,1.93175,369,Col,53.0881786345
323857,W-2_RB1out_S01,-2,1,1,1.86722,15399,0.0069116,1.00426,1.87518,369,Col,58.205154418999996
323857,W-2_RB2in_S01,-2,1,2,2.00331,18150,0.0100442,1.00388,2.01108,369,Col,79.6106529235
323857,W-2_RB2out_S01,-2,1,2,1.85832,15727,0.0129978,1.0032,1.86427,369,Col,83.64549764033335
323857,W-2_RB3+_S01,-2,1,3,1.8781,7503,0.0057572,1.0015,1.88092,369,Col,91.813167572
323857,W-2_RB3-_S01,-2,1,3,1.85005,7378,0.00501505,1.00025,1.85051,369,Col,91.35274124150001
323857,W-2_RB4+_S01,-2,1,4,1.97531,7680,0.00334362,1.00155,1.97836,369,Col,79.166666031
323857,W-2_RB4-_S01,-2,1,4,0.0,0,0.0,0.0,0.0,369,Col,0.0
323857,W-2_RB1in_S02,-2,2,1,1.93814,19081,0.00345353,1.00459,1.94704,369,Col,54.605373382500005
323857,W-2_RB1out_S02,-2,2,1,2.10979,18967,0.00322581,1.00413,2.11851,369,Col,59.786819458000004
323857,W-2_RB2in_S02,-2,2,2,1.78989,17498,0.00490998,1.0038,1.79669,369,Col,81.79885101299999
323857,W-2_RB2out_S02,-2,2,2,2.27881,20270,0.0122541,1.00304,2.28575,369,Col,84.36981455466666
323857,W-2_RB3+_S02,-2,2,3,0.0,0,0.0,0.0,0.0,369,Col,0.0
323857,W-2_RB3-_S02,-2,2,3,1.68686,7046,0.00167584,1.00144,1.68928,369,Col,91.154460907
323857,W-2_RB4+_S02,-2,2,4,1.82636,7468,0.00513573,1.00221,1.83039,369,Col,19.230770111
323857,W-2_RB4-_S02,-2,2,4,1.65754,6055,0.00629619,1.0011,1.65936,369,Col,16.666666031
323857,W-2_RB1in_S03,-2,3,1,2.01644,19136,0.00864067,1.00338,2.02326,369,Col,54.256328582500004
323857,W-2_RB1out_S03,-2,3,1,2.02375,17380,0.010014,1.00362,2.03109,369,Col,58.875925064
323857,W-2_RB2in_S03,-2,3,2,2.10604,19325,0.00642982,1.00405,2.11456,369,Col,77.2164916995
323857,W-2_RB2out_S03,-2,3,2,1.97903,17083,0.00764597,1.00314,1.98524,369,Col,83.11861419666667
323857,W-2_RB3+_S03,-2,3,3,1.61538,5565,0.00638607,1.00029,1.61585,369,Col,81.26606369000001
323857,W-2_RB3-_S03,-2,3,3,0.0,0,0.0,0.0,0.0,369,Col,0.0
323857,W-2_RB4+_S03,-2,3,4,1.69215,6596,0.00461775,1.00128,1.69432,369,Col,63.8888893125
323857,W-2_RB4-_S03,-2,3,4,1.83956,7189,0.00997953,1.00231,1.84381,369,Col,53.8888893125
323857,W-2_RB1in_S04,-2,4,1,1.98791,18251,0.00904041,1.00405,1.99595,369,Col,53.716737747500005
323857,W-2_RB1out_S04,-2,4,1,2.28144,19301,0.00839243,1.00392,2.29038,369,Col,59.319980621499994
323857,W-2_RB2in_S04,-2,4,2,1.97908,17596,0.0196828,1.00475,1.98847,369,Col,79.558906555
323857,W-2_RB2out_S04,-2,4,2,1.89808,14936,0.00495616,1.00344,1.90462,369,Col,78.915687561
323857,W-2_RB3+_S04,-2,4,3,2.29911,9316,0.00394867,1.00074,2.30082,369,Col,93.33606719950001
323857,W-2_RB3-_S04,-2,4,3,1.79084,7192,0.00522908,1.00125,1.79307,369,Col,89.95799255349999
323857,W-2_RB4++_S04,-2,4,4,1.67689,4209,0.00478088,1.0008,1.67823,369,Col,67.62990379300001
323857,W-2_RB4+_S04,-2,4,4,1.60179,4839,0.00695134,1.00033,1.60232,369,Col,94.467262268
323857,W-2_RB4--_S04,-2,4,4,1.60679,3882,0.00124172,1.00041,1.60745,369,Col,62.559617996
323857,W-2_RB4-_S04,-2,4,4,0.0,0,0.0,0.0,0.0,369,Col,0.0
