chamber,fid_eff_ch_level
W-2_RB1in_S01,96.95381164550781
W-2_RB1out_S01,97.65830612182617
W-2_RB2in_S01,98.35134887695312
W-2_RB2out_S01,98.56309509277344
W-2_RB3-_S01,97.97466278076172
W-2_RB3+_S01,98.29366302490234
W-2_RB4-_S01,0.0
W-2_RB4+_S01,91.66666412353516
W-2_RB4--_S01,0.0
W-2_RB4++_S01,0.0
W-2_RB1in_S02,95.68955993652344
W-2_RB1out_S02,97.21997833251953
W-2_RB2in_S02,97.90329360961914
W-2_RB2out_S02,98.2656758626302
W-2_RB3-_S02,96.88797378540039
W-2_RB3+_S02,0.0
W-2_RB4-_S02,92.01228713989258
W-2_RB4+_S02,96.83992004394531
W-2_RB4--_S02,0.0
W-2_RB4++_S02,0.0
W-2_RB1in_S03,97.25103378295898
W-2_RB1out_S03,97.76531600952148
W-2_RB2in_S03,94.7486572265625
W-2_RB2out_S03,98.16265360514323
W-2_RB3-_S03,0.0
W-2_RB3+_S03,88.5511245727539
W-2_RB4-_S03,90.97047805786133
W-2_RB4+_S03,97.26506805419922
W-2_RB4--_S03,0.0
W-2_RB4++_S03,0.0
W-2_RB1in_S04,96.88065719604492
W-2_RB1out_S04,97.66577911376953
W-2_RB2in_S04,96.90602111816406
W-2_RB2out_S04,93.96464538574219
W-2_RB3-_S04,96.55370712280273
W-2_RB3+_S04,99.37046432495117
W-2_RB4-_S04,0.0
W-2_RB4+_S04,97.55078125
W-2_RB4--_S04,96.13985824584961
W-2_RB4++_S04,90.07538986206055
W-2_RB1in_S05,96.98723602294922
W-2_RB1out_S05,97.27353286743164
W-2_RB2in_S05,94.90250015258789
W-2_RB2out_S05,98.13601684570312
W-2_RB3-_S05,59.63119125366211
W-2_RB3+_S05,59.52956771850586
W-2_RB4-_S05,0.0
W-2_RB4+_S05,87.07568359375
W-2_RB4--_S05,0.0
W-2_RB4++_S05,0.0
W-2_RB1in_S06,97.41892623901367
W-2_RB1out_S06,97.35786437988281
W-2_RB2in_S06,98.69058990478516
W-2_RB2out_S06,98.4719721476237
W-2_RB3-_S06,97.58451080322266
W-2_RB3+_S06,97.91113662719727
W-2_RB4-_S06,94.2099609375
W-2_RB4+_S06,91.32730102539062
W-2_RB4--_S06,0.0
W-2_RB4++_S06,0.0
W-2_RB1in_S07,96.67106246948242
W-2_RB1out_S07,97.94124603271484
W-2_RB2in_S07,90.27599334716797
W-2_RB2out_S07,98.07379150390625
W-2_RB3-_S07,97.84112167358398
W-2_RB3+_S07,96.85952377319336
W-2_RB4-_S07,0.0
W-2_RB4+_S07,95.52475357055664
W-2_RB4--_S07,0.0
W-2_RB4++_S07,0.0
W-2_RB1in_S08,96.19956588745117
W-2_RB1out_S08,82.4608154296875
W-2_RB2in_S08,97.3637466430664
W-2_RB2out_S08,98.19735463460286
W-2_RB3-_S08,98.40258407592773
W-2_RB3+_S08,98.4262809753418
W-2_RB4-_S08,90.15263366699219
W-2_RB4+_S08,0.0
W-2_RB4--_S08,0.0
W-2_RB4++_S08,0.0
W-2_RB1in_S09,96.44153594970703
W-2_RB1out_S09,97.18321990966797
W-2_RB2in_S09,97.44921493530273
W-2_RB2out_S09,96.6722412109375
W-2_RB3-_S09,98.04219818115234
W-2_RB3+_S09,94.65102005004883
W-2_RB4-_S09,96.88472747802734
W-2_RB4+_S09,0.0
W-2_RB4--_S09,0.0
W-2_RB4++_S09,0.0
W-2_RB1in_S10,96.95066452026367
W-2_RB1out_S10,95.23724746704102
W-2_RB2in_S10,98.97684097290039
W-2_RB2out_S10,98.28596750895183
W-2_RB3-_S10,92.33123397827148
W-2_RB3+_S10,97.91619491577148
W-2_RB4-_S10,97.81676864624023
W-2_RB4+_S10,98.08174514770508
W-2_RB4--_S10,0.0
W-2_RB4++_S10,0.0
W-2_RB1in_S11,87.79232025146484
W-2_RB1out_S11,96.13874435424805
W-2_RB2in_S11,97.98135375976562
W-2_RB2out_S11,98.59630584716797
W-2_RB3-_S11,97.9890251159668
W-2_RB3+_S11,98.33763885498047
W-2_RB4-_S11,98.60345077514648
W-2_RB4+_S11,0.0
W-2_RB4--_S11,0.0
W-2_RB4++_S11,0.0
W-2_RB1in_S12,97.33648681640625
W-2_RB1out_S12,97.0305290222168
W-2_RB2in_S12,96.3862533569336
W-2_RB2out_S12,98.44888305664062
W-2_RB3-_S12,99.5932502746582
W-2_RB3+_S12,0.0
W-2_RB4-_S12,98.66194152832031
W-2_RB4+_S12,98.83979797363281
W-2_RB4--_S12,0.0
W-2_RB4++_S12,0.0
W-1_RB1in_S01,97.35305404663086
W-1_RB1out_S01,98.05021286010742
W-1_RB2in_S01,97.37571716308594
W-1_RB2out_S01,95.9995346069336
W-1_RB3-_S01,0.0
W-1_RB3+_S01,0.0
W-1_RB4-_S01,0.0
W-1_RB4+_S01,98.15935516357422
W-1_RB4--_S01,0.0
W-1_RB4++_S01,0.0
W-1_RB1in_S02,95.5781135559082
W-1_RB1out_S02,95.44815444946289
W-1_RB2in_S02,98.4202397664388
W-1_RB2out_S02,95.47526168823242
W-1_RB3-_S02,96.77142333984375
W-1_RB3+_S02,97.91582107543945
W-1_RB4-_S02,0.0
W-1_RB4+_S02,0.0
W-1_RB4--_S02,0.0
W-1_RB4++_S02,0.0
W-1_RB1in_S03,96.20307922363281
W-1_RB1out_S03,97.37810897827148
W-1_RB2in_S03,97.63372802734375
W-1_RB2out_S03,94.59140014648438
W-1_RB3-_S03,97.8349838256836
W-1_RB3+_S03,97.09855270385742
W-1_RB4-_S03,96.85833358764648
W-1_RB4+_S03,97.31455612182617
W-1_RB4--_S03,0.0
W-1_RB4++_S03,0.0
W-1_RB1in_S04,97.07797622680664
W-1_RB1out_S04,47.190486907958984
W-1_RB2in_S04,91.9560775756836
W-1_RB2out_S04,0.0
W-1_RB3-_S04,97.2333984375
W-1_RB3+_S04,96.9043083190918
W-1_RB4-_S04,98.05401611328125
W-1_RB4+_S04,0.0
W-1_RB4--_S04,96.4000358581543
W-1_RB4++_S04,0.0
W-1_RB1in_S05,95.7778549194336
W-1_RB1out_S05,97.85037612915039
W-1_RB2in_S05,97.84244537353516
W-1_RB2out_S05,97.73661422729492
W-1_RB3-_S05,97.78641891479492
W-1_RB3+_S05,97.54609680175781
W-1_RB4-_S05,0.0
W-1_RB4+_S05,0.0
W-1_RB4--_S05,0.0
W-1_RB4++_S05,0.0
W-1_RB1in_S06,97.1248550415039
W-1_RB1out_S06,97.07008361816406
W-1_RB2in_S06,94.86389668782552
W-1_RB2out_S06,96.89190292358398
W-1_RB3-_S06,95.38853073120117
W-1_RB3+_S06,92.55262756347656
W-1_RB4-_S06,67.43748474121094
W-1_RB4+_S06,97.60705184936523
W-1_RB4--_S06,0.0
W-1_RB4++_S06,0.0
W-1_RB1in_S07,97.8360481262207
W-1_RB1out_S07,97.69248580932617
W-1_RB2in_S07,83.9945805867513
W-1_RB2out_S07,0.0
W-1_RB3-_S07,97.99994277954102
W-1_RB3+_S07,97.72484588623047
W-1_RB4-_S07,0.0
W-1_RB4+_S07,0.0
W-1_RB4--_S07,0.0
W-1_RB4++_S07,0.0
W-1_RB1in_S08,94.59494400024414
W-1_RB1out_S08,95.44314575195312
W-1_RB2in_S08,97.74226633707683
W-1_RB2out_S08,95.48036575317383
W-1_RB3-_S08,97.75466918945312
W-1_RB3+_S08,94.03155136108398
W-1_RB4-_S08,0.0
W-1_RB4+_S08,0.0
W-1_RB4--_S08,0.0
W-1_RB4++_S08,0.0
W-1_RB1in_S09,96.33702850341797
W-1_RB1out_S09,97.58708953857422
W-1_RB2in_S09,97.38180287679036
W-1_RB2out_S09,95.94347381591797
W-1_RB3-_S09,90.91010284423828
W-1_RB3+_S09,95.43330383300781
W-1_RB4-_S09,96.13811111450195
W-1_RB4+_S09,0.0
W-1_RB4--_S09,0.0
W-1_RB4++_S09,0.0
W-1_RB1in_S10,96.71905517578125
W-1_RB1out_S10,97.28204345703125
W-1_RB2in_S10,98.01497904459636
W-1_RB2out_S10,97.30011367797852
W-1_RB3-_S10,47.79972839355469
W-1_RB3+_S10,48.5546875
W-1_RB4-_S10,94.85745620727539
W-1_RB4+_S10,97.25222778320312
W-1_RB4--_S10,0.0
W-1_RB4++_S10,0.0
W-1_RB1in_S11,96.8338394165039
W-1_RB1out_S11,97.46419525146484
W-1_RB2in_S11,92.38919321695964
W-1_RB2out_S11,97.45591354370117
W-1_RB3-_S11,0.0
W-1_RB3+_S11,79.16401290893555
W-1_RB4-_S11,96.87308883666992
W-1_RB4+_S11,0.0
W-1_RB4--_S11,0.0
W-1_RB4++_S11,0.0
W-1_RB1in_S12,96.7504997253418
W-1_RB1out_S12,95.75608825683594
W-1_RB2in_S12,97.75521087646484
W-1_RB2out_S12,84.08968353271484
W-1_RB3-_S12,97.42276382446289
W-1_RB3+_S12,0.0
W-1_RB4-_S12,98.27260208129883
W-1_RB4+_S12,89.89934539794922
W-1_RB4--_S12,0.0
W-1_RB4++_S12,0.0
W+0_RB1in_S01,95.31649017333984
W+0_RB1out_S01,97.39951705932617
W+0_RB2in_S01,98.3408940633138
W+0_RB2out_S01,85.37665557861328
W+0_RB3-_S01,98.15458679199219
W+0_RB3+_S01,98.06468200683594
W+0_RB4-_S01,0.0
W+0_RB4+_S01,0.0
W+0_RB4--_S01,0.0
W+0_RB4++_S01,0.0
W+0_RB1in_S02,89.67451858520508
W+0_RB1out_S02,98.18280029296875
W+0_RB2in_S02,97.80703735351562
W+0_RB2out_S02,96.87462997436523
W+0_RB3-_S02,91.59281158447266
W+0_RB3+_S02,97.16945266723633
W+0_RB4-_S02,94.81879425048828
W+0_RB4+_S02,86.60166931152344
W+0_RB4--_S02,0.0
W+0_RB4++_S02,0.0
W+0_RB1in_S03,96.53887557983398
W+0_RB1out_S03,97.86606979370117
W+0_RB2in_S03,93.90445709228516
W+0_RB2out_S03,94.54821014404297
W+0_RB3-_S03,79.2943229675293
W+0_RB3+_S03,98.21137619018555
W+0_RB4-_S03,97.84092330932617
W+0_RB4+_S03,96.5140609741211
W+0_RB4--_S03,0.0
W+0_RB4++_S03,0.0
W+0_RB1in_S04,96.8182601928711
W+0_RB1out_S04,97.15344619750977
W+0_RB2in_S04,97.94397989908855
W+0_RB2out_S04,96.66347885131836
W+0_RB3-_S04,95.58337783813477
W+0_RB3+_S04,0.0
W+0_RB4-_S04,97.4538345336914
W+0_RB4+_S04,97.48013687133789
W+0_RB4--_S04,97.52147674560547
W+0_RB4++_S04,96.95437240600586
W+0_RB1in_S05,96.64083480834961
W+0_RB1out_S05,97.10909271240234
W+0_RB2in_S05,70.91903940836589
W+0_RB2out_S05,92.23861312866211
W+0_RB3-_S05,98.20272445678711
W+0_RB3+_S05,96.89458465576172
W+0_RB4-_S05,93.90216445922852
W+0_RB4+_S05,96.42609786987305
W+0_RB4--_S05,0.0
W+0_RB4++_S05,0.0
W+0_RB1in_S06,96.1048355102539
W+0_RB1out_S06,97.33161163330078
W+0_RB2in_S06,98.61061096191406
W+0_RB2out_S06,97.3663558959961
W+0_RB3-_S06,97.9148941040039
W+0_RB3+_S06,97.86786270141602
W+0_RB4-_S06,97.14092254638672
W+0_RB4+_S06,96.8461799621582
W+0_RB4--_S06,0.0
W+0_RB4++_S06,0.0
W+0_RB1in_S07,96.79771041870117
W+0_RB1out_S07,95.54142761230469
W+0_RB2in_S07,98.40702311197917
W+0_RB2out_S07,94.25424575805664
W+0_RB3-_S07,97.93560791015625
W+0_RB3+_S07,98.71963500976562
W+0_RB4-_S07,0.0
W+0_RB4+_S07,0.0
W+0_RB4--_S07,0.0
W+0_RB4++_S07,0.0
W+0_RB1in_S08,93.92335891723633
W+0_RB1out_S08,97.38238906860352
W+0_RB2in_S08,98.1903788248698
W+0_RB2out_S08,96.85857772827148
W+0_RB3-_S08,97.9179573059082
W+0_RB3+_S08,91.44964981079102
W+0_RB4-_S08,96.56417083740234
W+0_RB4+_S08,97.2179069519043
W+0_RB4--_S08,0.0
W+0_RB4++_S08,0.0
W+0_RB1in_S09,95.23645782470703
W+0_RB1out_S09,94.02996063232422
W+0_RB2in_S09,97.77426147460938
W+0_RB2out_S09,96.34279251098633
W+0_RB3-_S09,98.62147903442383
W+0_RB3+_S09,98.20500946044922
W+0_RB4-_S09,95.82836532592773
W+0_RB4+_S09,0.0
W+0_RB4--_S09,0.0
W+0_RB4++_S09,0.0
W+0_RB1in_S10,96.46290969848633
W+0_RB1out_S10,97.48472595214844
W+0_RB2in_S10,95.68112436930339
W+0_RB2out_S10,95.10204315185547
