run,chamber,wheel,sector,station,avg_cluster_size,occupancy,avg_bx_dist,avg_no_of_clusters,avg_multiplicity,lumisections,type,avg_efficiency
320464,W-2_RB1in_S01,-2,1,1,1.58333,114,0.0,1.0,1.58333,2117,Cos,75.99421310400001
320464,W-2_RB1out_S01,-2,1,1,1.28378,95,0.162162,1.0,1.28378,2117,Cos,79.97808074950001
320464,W-2_RB2in_S01,-2,1,2,1.62281,185,0.298246,1.0,1.62281,2117,Cos,84.03077316299999
320464,W-2_RB2out_S01,-2,1,2,1.40187,150,0.186916,1.0,1.40187,2117,Cos,85.33166249566666
320464,W-2_RB3+_S01,-2,1,3,1.48,37,-0.84,1.0,1.48,2117,Cos,84.989616394
320464,W-2_RB3-_S01,-2,1,3,1.5,63,0.0952381,1.0,1.5,2117,Cos,81.4442825315
320464,W-2_RB4+_S01,-2,1,4,1.41667,17,-0.5,1.0,1.41667,2117,Cos,82.6866607665
320464,W-2_RB4-_S01,-2,1,4,0.0,0,0.0,0.0,0.0,2117,Cos,0.0
320464,W-2_RB1in_S02,-2,2,1,1.49693,488,-1.27914,1.0,1.49693,2117,Cos,67.734313965
320464,W-2_RB1out_S02,-2,2,1,1.64972,584,-1.38136,1.0,1.64972,2117,Cos,74.49206161500001
320464,W-2_RB2in_S02,-2,2,2,1.4157,487,-1.50291,1.0,1.4157,2117,Cos,76.98910522450001
320464,W-2_RB2out_S02,-2,2,2,1.80376,671,-1.5457,1.0,1.80376,2117,Cos,87.856015523
320464,W-2_RB3+_S02,-2,2,3,0.0,0,0.0,0.0,0.0,2117,Cos,0.0
320464,W-2_RB3-_S02,-2,2,3,1.33113,201,-1.76159,1.0,1.33113,2117,Cos,70.42597579950001
320464,W-2_RB4+_S02,-2,2,4,1.4513,447,-1.89935,1.0,1.4513,2117,Cos,82.3500938415
320464,W-2_RB4-_S02,-2,2,4,1.70175,97,-1.96491,1.0,1.70175,2117,Cos,71.3590660095
320464,W-2_RB1in_S03,-2,3,1,1.64649,1714,-1.26801,1.0,1.64649,2117,Cos,70.769180298
320464,W-2_RB1out_S03,-2,3,1,1.74473,2071,-1.27717,1.0,1.74473,2117,Cos,79.70788955699999
320464,W-2_RB2in_S03,-2,3,2,1.65414,2377,-1.44955,1.0,1.65414,2117,Cos,82.00394821200001
320464,W-2_RB2out_S03,-2,3,2,1.76171,2595,-1.57841,1.0,1.76171,2117,Cos,86.73343912733333
320464,W-2_RB3+_S03,-2,3,3,1.38873,1454,-1.76695,1.0,1.38873,2117,Cos,74.443862915
320464,W-2_RB3-_S03,-2,3,3,0.0,0,0.0,0.0,0.0,2117,Cos,0.0
320464,W-2_RB4+_S03,-2,3,4,1.38409,1636,-1.90609,1.0,1.38409,2117,Cos,82.283973694
320464,W-2_RB4-_S03,-2,3,4,1.61067,815,-1.90711,1.0,1.61067,2117,Cos,80.6149864195
320464,W-2_RB1in_S04,-2,4,1,1.47438,2014,-1.1918,1.0,1.47438,2117,Cos,72.9976959225
320464,W-2_RB1out_S04,-2,4,1,1.77078,2982,-1.37827,1.0,1.77078,2117,Cos,86.4106941225
320464,W-2_RB2in_S04,-2,4,2,1.57123,3430,-1.47,1.0,1.57123,2117,Cos,80.4837646485
320464,W-2_RB2out_S04,-2,4,2,1.55713,3298,-1.57129,1.0,1.55713,2117,Cos,75.42721049
320464,W-2_RB3+_S04,-2,4,3,1.65283,2866,-1.76471,1.0,1.65283,2117,Cos,92.5945396425
320464,W-2_RB3-_S04,-2,4,3,1.36484,2065,-1.72241,1.0,1.36484,2117,Cos,78.620994568
320464,W-2_RB4++_S04,-2,4,4,1.35294,1150,-1.93412,1.0,1.35294,2117,Cos,77.819709778
320464,W-2_RB4+_S04,-2,4,4,1.24576,1982,-1.92458,1.00063,1.24654,2117,Cos,75.45978546149999
320464,W-2_RB4--_S04,-2,4,4,1.32135,1139,-1.95708,1.0,1.32135,2117,Cos,66.7543315885
320464,W-2_RB4-_S04,-2,4,4,0.0,0,0.0,0.0,0.0,2117,Cos,0.0
320464,W-2_RB1in_S05,-2,5,1,1.5479,1325,-1.18808,1.0,1.5479,2117,Cos,74.588344574
320464,W-2_RB1out_S05,-2,5,1,1.54301,1435,-1.35269,1.0,1.54301,2117,Cos,68.864376068
320464,W-2_RB2in_S05,-2,5,2,1.62323,2404,-1.3133,1.0,1.62323,2117,Cos,77.76664352399999
320464,W-2_RB2out_S05,-2,5,2,1.70522,2713,-1.59082,1.0,1.70522,2117,Cos,85.78056081133333
320464,W-2_RB3+_S05,-2,5,3,1.60385,1166,-1.70977,1.0,1.60385,2117,Cos,85.3278045655
320464,W-2_RB3-_S05,-2,5,3,1.46883,1626,-1.71093,1.0,1.46883,2117,Cos,83.94801330600001
320464,W-2_RB4+_S05,-2,5,4,1.67419,1038,-1.83226,1.0,1.67419,2117,Cos,86.3665008545
320464,W-2_RB4-_S05,-2,5,4,0.0,0,0.0,0.0,0.0,2117,Cos,0.0
320464,W-2_RB1in_S06,-2,6,1,1.7644,337,-1.13613,1.0,1.7644,2117,Cos,75.98226928700001
320464,W-2_RB1out_S06,-2,6,1,1.85433,471,-1.30709,1.0,1.85433,2117,Cos,85.18666076650001
320464,W-2_RB2in_S06,-2,6,2,1.67912,764,-1.56703,1.0,1.67912,2117,Cos,88.8251342775
320464,W-2_RB2out_S06,-2,6,2,1.71744,778,-1.56733,1.0,1.71744,2117,Cos,86.75189717633333
320464,W-2_RB3+_S06,-2,6,3,1.47863,173,-1.78632,1.0,1.47863,2117,Cos,80.7589874265
320464,W-2_RB3-_S06,-2,6,3,1.45739,513,-1.71591,1.0,1.45739,2117,Cos,85.073875427
320464,W-2_RB4+_S06,-2,6,4,1.75,84,-1.89583,1.0,1.75,2117,Cos,85.784706116
320464,W-2_RB4-_S06,-2,6,4,1.30717,383,-1.88396,1.0,1.30717,2117,Cos,71.3233528135
320464,W-2_RB1in_S07,-2,7,1,1.78333,107,0.35,1.0,1.78333,2117,Cos,70.955242157
320464,W-2_RB1out_S07,-2,7,1,1.91667,69,0.138889,1.0,1.91667,2117,Cos,72.280166626
320464,W-2_RB2in_S07,-2,7,2,1.77778,32,-0.888889,1.0,1.77778,2117,Cos,69.018163681
320464,W-2_RB2out_S07,-2,7,2,1.44444,26,-1.05556,1.0,1.44444,2117,Cos,79.94137573233333
320464,W-2_RB3+_S07,-2,7,3,1.54545,34,0.136364,1.0,1.54545,2117,Cos,83.1667518615
320464,W-2_RB3-_S07,-2,7,3,1.66667,10,-1.33333,1.0,1.66667,2117,Cos,84.563682556
320464,W-2_RB4+_S07,-2,7,4,1.65385,215,0.0615385,1.0,1.65385,2117,Cos,87.58930587750001
320464,W-2_RB4-_S07,-2,7,4,0.0,0,0.0,0.0,0.0,2117,Cos,0.0
320464,W-2_RB1in_S08,-2,8,1,1.5397,1144,0.313594,1.0,1.5397,2117,Cos,82.8878517155
320464,W-2_RB1out_S08,-2,8,1,1.41615,684,0.306418,1.0,1.41615,2117,Cos,49.902145385500006
320464,W-2_RB2in_S08,-2,8,2,1.80276,1435,0.311558,1.0,1.80276,2117,Cos,85.275432587
320464,W-2_RB2out_S08,-2,8,2,1.54994,1288,0.243081,1.0,1.54994,2117,Cos,84.42037455233333
320464,W-2_RB3+_S08,-2,8,3,1.41742,944,0.127628,1.0,1.41742,2117,Cos,83.8534126285
320464,W-2_RB3-_S08,-2,8,3,1.51659,640,0.109005,1.0,1.51659,2117,Cos,85.54278183
320464,W-2_RB4+_S08,-2,8,4,0.0,0,0.0,0.0,0.0,2117,Cos,0.0
320464,W-2_RB4-_S08,-2,8,4,1.23618,738,0.144054,1.0,1.23618,2117,Cos,68.17228317249999
320464,W-2_RB1in_S09,-2,9,1,1.51365,1774,0.22099,1.0,1.51365,2117,Cos,69.7520713805
320464,W-2_RB1out_S09,-2,9,1,1.43231,1640,0.191266,1.0,1.43231,2117,Cos,68.15579605100001
320464,W-2_RB2in_S09,-2,9,2,1.67016,2547,0.18623,1.0,1.67016,2117,Cos,79.129371643
320464,W-2_RB2out_S09,-2,9,2,1.35518,1923,0.262156,1.0,1.35518,2117,Cos,74.70937347433333
320464,W-2_RB3+_S09,-2,9,3,1.51206,1317,0.174512,1.0,1.51206,2117,Cos,78.559627533
320464,W-2_RB3-_S09,-2,9,3,1.43439,1126,0.247134,1.0,1.43439,2117,Cos,73.5721092225
320464,W-2_RB4_S09,-2,9,4,1.38837,1648,0.0968829,1.0,1.38837,2117,Cos,77.802078247
320464,W-2_RB1in_S10,-2,10,1,1.69131,2356,0.151472,1.0,1.69131,2117,Cos,83.0030059815
