chamber,fid_eff_ch_level
W-2_RB1in_S01,83.7690658569336
W-2_RB1out_S01,90.60344696044922
W-2_RB2in_S01,93.08035659790039
W-2_RB2out_S01,96.10256449381511
W-2_RB3-_S01,100.0
W-2_RB3+_S01,83.33333587646484
W-2_RB4-_S01,0.0
W-2_RB4+_S01,0.0
W-2_RB4--_S01,0.0
W-2_RB4++_S01,0.0
W-2_RB1in_S02,97.85499954223633
W-2_RB1out_S02,97.61904907226562
W-2_RB2in_S02,100.0
W-2_RB2out_S02,100.0
W-2_RB3-_S02,92.85714340209961
W-2_RB3+_S02,0.0
W-2_RB4-_S02,25.0
W-2_RB4+_S02,79.16666603088379
W-2_RB4--_S02,0.0
W-2_RB4++_S02,0.0
W-2_RB1in_S03,95.65940475463867
W-2_RB1out_S03,96.6129035949707
W-2_RB2in_S03,93.44173049926758
W-2_RB2out_S03,96.62288920084636
W-2_RB3-_S03,0.0
W-2_RB3+_S03,83.0952377319336
W-2_RB4-_S03,70.85714340209961
W-2_RB4+_S03,84.24390411376953
W-2_RB4--_S03,0.0
W-2_RB4++_S03,0.0
W-2_RB1in_S04,97.71195983886719
W-2_RB1out_S04,96.09782409667969
W-2_RB2in_S04,93.26406478881836
W-2_RB2out_S04,92.47548929850261
W-2_RB3-_S04,97.09302139282227
W-2_RB3+_S04,94.05172348022461
W-2_RB4-_S04,0.0
W-2_RB4+_S04,80.15749740600586
W-2_RB4--_S04,76.1478157043457
W-2_RB4++_S04,73.75000190734863
W-2_RB1in_S05,95.71004104614258
W-2_RB1out_S05,96.01587295532227
W-2_RB2in_S05,96.09247589111328
W-2_RB2out_S05,98.0745340983073
W-2_RB3-_S05,91.03260803222656
W-2_RB3+_S05,84.88888931274414
W-2_RB4-_S05,0.0
W-2_RB4+_S05,89.6853141784668
W-2_RB4--_S05,0.0
W-2_RB4++_S05,0.0
W-2_RB1in_S06,94.4444465637207
W-2_RB1out_S06,98.4375
W-2_RB2in_S06,95.45454788208008
W-2_RB2out_S06,97.91666666666667
W-2_RB3-_S06,69.89795684814453
W-2_RB3+_S06,92.85714340209961
W-2_RB4-_S06,73.33333587646484
W-2_RB4+_S06,50.0
W-2_RB4--_S06,0.0
W-2_RB4++_S06,0.0
W-2_RB1in_S07,100.0
W-2_RB1out_S07,100.0
W-2_RB2in_S07,50.0
W-2_RB2out_S07,66.66666666666667
W-2_RB3-_S07,50.0
W-2_RB3+_S07,93.75
W-2_RB4-_S07,0.0
W-2_RB4+_S07,100.0
W-2_RB4--_S07,0.0
W-2_RB4++_S07,0.0
W-2_RB1in_S08,91.28571701049805
W-2_RB1out_S08,81.63223266601562
W-2_RB2in_S08,95.89492797851562
W-2_RB2out_S08,96.89048258463542
W-2_RB3-_S08,96.59698867797852
W-2_RB3+_S08,95.16728591918945
W-2_RB4-_S08,81.72161483764648
W-2_RB4+_S08,0.0
W-2_RB4--_S08,0.0
W-2_RB4++_S08,0.0
W-2_RB1in_S09,93.06493377685547
W-2_RB1out_S09,95.26731491088867
W-2_RB2in_S09,95.22331237792969
W-2_RB2out_S09,94.81868743896484
W-2_RB3-_S09,95.04042434692383
W-2_RB3+_S09,89.23833084106445
W-2_RB4_S09,85.8891487121582
W-2_RB4+_S09,0.0
W-2_RB4--_S09,0.0
W-2_RB4++_S09,0.0
W-2_RB1in_S10,95.41827774047852
W-2_RB1out_S10,94.3995246887207
W-2_RB2in_S10,95.92711639404297
W-2_RB2out_S10,97.50420888264973
W-2_RB3-_S10,88.44409561157227
W-2_RB3+_S10,94.2735824584961
W-2_RB4-_S10,88.56572723388672
W-2_RB4+_S10,85.64825439453125
W-2_RB4--_S10,0.0
W-2_RB4++_S10,0.0
W-2_RB1in_S11,86.76093673706055
W-2_RB1out_S11,95.89973449707031
W-2_RB2in_S11,95.6224136352539
W-2_RB2out_S11,95.19371541341145
W-2_RB3-_S11,94.52132415771484
W-2_RB3+_S11,96.1253547668457
W-2_RB4_S11,87.81298446655273
W-2_RB4+_S11,0.0
W-2_RB4--_S11,0.0
W-2_RB4++_S11,0.0
W-2_RB1in_S12,93.10065078735352
W-2_RB1out_S12,94.24603271484375
W-2_RB2in_S12,95.83333587646484
W-2_RB2out_S12,96.66123453776042
W-2_RB3-_S12,98.87005615234375
W-2_RB3+_S12,0.0
W-2_RB4-_S12,88.07760238647461
W-2_RB4+_S12,89.61229705810547
W-2_RB4--_S12,0.0
W-2_RB4++_S12,0.0
W-1_RB1in_S01,95.45454788208008
W-1_RB1out_S01,100.0
W-1_RB2in_S01,100.0
W-1_RB2out_S01,100.0
W-1_RB3-_S01,0.0
W-1_RB3+_S01,0.0
W-1_RB4-_S01,0.0
W-1_RB4+_S01,58.333335876464844
W-1_RB4--_S01,0.0
W-1_RB4++_S01,0.0
W-1_RB1in_S02,94.61103439331055
W-1_RB1out_S02,94.56521987915039
W-1_RB2in_S02,98.0
W-1_RB2out_S02,93.9047622680664
W-1_RB3-_S02,97.91666412353516
W-1_RB3+_S02,98.02708053588867
W-1_RB4-_S02,0.0
W-1_RB4+_S02,0.0
W-1_RB4--_S02,0.0
W-1_RB4++_S02,0.0
W-1_RB1in_S03,93.70441055297852
W-1_RB1out_S03,96.7412338256836
W-1_RB2in_S03,94.36989847819011
W-1_RB2out_S03,93.88330841064453
W-1_RB3-_S03,98.14814758300781
W-1_RB3+_S03,94.9495964050293
W-1_RB4-_S03,84.09091186523438
W-1_RB4+_S03,96.96969604492188
W-1_RB4--_S03,0.0
W-1_RB4++_S03,0.0
W-1_RB1in_S04,96.60243225097656
W-1_RB1out_S04,47.25738525390625
W-1_RB2in_S04,90.14605967203777
W-1_RB2out_S04,0.0
W-1_RB3-_S04,94.5428695678711
W-1_RB3+_S04,95.29072189331055
W-1_RB4-_S04,89.90514755249023
W-1_RB4+_S04,0.0
W-1_RB4--_S04,80.14005661010742
W-1_RB4++_S04,0.0
W-1_RB1in_S05,96.09161758422852
W-1_RB1out_S05,96.339599609375
W-1_RB2in_S05,97.50280507405598
W-1_RB2out_S05,96.68959045410156
W-1_RB3-_S05,97.3984146118164
W-1_RB3+_S05,93.58064270019531
W-1_RB4-_S05,0.0
W-1_RB4+_S05,0.0
W-1_RB4--_S05,0.0
W-1_RB4++_S05,0.0
W-1_RB1in_S06,97.7272720336914
W-1_RB1out_S06,95.14375686645508
W-1_RB2in_S06,95.3286616007487
W-1_RB2out_S06,98.24561309814453
W-1_RB3-_S06,96.22641372680664
W-1_RB3+_S06,92.5
W-1_RB4-_S06,79.76190185546875
W-1_RB4+_S06,100.0
W-1_RB4--_S06,0.0
W-1_RB4++_S06,0.0
W-1_RB1in_S07,93.21428680419922
W-1_RB1out_S07,97.82608795166016
W-1_RB2in_S07,86.66666920979817
W-1_RB2out_S07,0.0
W-1_RB3-_S07,82.85714340209961
W-1_RB3+_S07,95.45454788208008
W-1_RB4-_S07,0.0
W-1_RB4+_S07,0.0
W-1_RB4--_S07,0.0
W-1_RB4++_S07,0.0
W-1_RB1in_S08,93.98033142089844
W-1_RB1out_S08,94.80017852783203
W-1_RB2in_S08,98.00416310628255
W-1_RB2out_S08,95.23226928710938
W-1_RB3-_S08,96.26312255859375
W-1_RB3+_S08,92.96573638916016
W-1_RB4-_S08,0.0
W-1_RB4+_S08,0.0
W-1_RB4--_S08,0.0
W-1_RB4++_S08,0.0
W-1_RB1in_S09,95.50778579711914
W-1_RB1out_S09,97.49496459960938
W-1_RB2in_S09,96.57201385498047
W-1_RB2out_S09,95.53742218017578
W-1_RB3-_S09,91.13320922851562
W-1_RB3+_S09,95.8947982788086
W-1_RB4_S09,95.20032501220703
W-1_RB4+_S09,0.0
W-1_RB4--_S09,0.0
W-1_RB4++_S09,0.0
W-1_RB1in_S10,96.12749099731445
W-1_RB1out_S10,96.66246032714844
W-1_RB2in_S10,96.90763092041016
W-1_RB2out_S10,96.50492858886719
W-1_RB3-_S10,47.268211364746094
W-1_RB3+_S10,46.47058868408203
W-1_RB4-_S10,92.02008819580078
W-1_RB4+_S10,94.95396423339844
W-1_RB4--_S10,0.0
W-1_RB4++_S10,0.0
W-1_RB1in_S11,95.63386917114258
W-1_RB1out_S11,97.3530158996582
W-1_RB2in_S11,91.29793548583984
W-1_RB2out_S11,96.37561416625977
W-1_RB3-_S11,0.0
W-1_RB3+_S11,73.2898006439209
W-1_RB4_S11,95.99238586425781
W-1_RB4+_S11,0.0
W-1_RB4--_S11,0.0
W-1_RB4++_S11,0.0
W-1_RB1in_S12,95.10204315185547
W-1_RB1out_S12,96.35530471801758
W-1_RB2in_S12,96.12864176432292
W-1_RB2out_S12,84.38312149047852
W-1_RB3-_S12,95.81788635253906
W-1_RB3+_S12,0.0
W-1_RB4-_S12,96.03076553344727
W-1_RB4+_S12,89.43155670166016
W-1_RB4--_S12,0.0
W-1_RB4++_S12,0.0
W+0_RB1in_S01,93.75
W+0_RB1out_S01,96.66666793823242
W+0_RB2in_S01,100.0
W+0_RB2out_S01,88.99430465698242
W+0_RB3-_S01,100.0
W+0_RB3+_S01,100.0
W+0_RB4-_S01,0.0
W+0_RB4+_S01,0.0
W+0_RB4--_S01,0.0
W+0_RB4++_S01,0.0
W+0_RB1in_S02,88.85252380371094
W+0_RB1out_S02,96.8197021484375
W+0_RB2in_S02,92.7936503092448
W+0_RB2out_S02,94.12698364257812
W+0_RB3-_S02,80.83333587646484
W+0_RB3+_S02,91.77156066894531
W+0_RB4-_S02,25.0
W+0_RB4+_S02,79.4444465637207
W+0_RB4--_S02,0.0
W+0_RB4++_S02,0.0
W+0_RB1in_S03,96.07805633544922
W+0_RB1out_S03,96.68014907836914
W+0_RB2in_S03,95.85712178548177
W+0_RB2out_S03,94.93643951416016
W+0_RB3-_S03,73.46938705444336
W+0_RB3+_S03,97.10587310791016
W+0_RB4-_S03,83.79629516601562
W+0_RB4+_S03,89.44444274902344
W+0_RB4--_S03,0.0
W+0_RB4++_S03,0.0
W+0_RB1in_S04,94.01388931274414
W+0_RB1out_S04,97.36874008178711
W+0_RB2in_S04,96.8137919108073
W+0_RB2out_S04,94.99118423461914
W+0_RB3-_S04,93.83111190795898
W+0_RB3+_S04,0.0
W+0_RB4-_S04,92.29534530639648
W+0_RB4+_S04,83.73015975952148
W+0_RB4--_S04,81.74603271484375
W+0_RB4++_S04,85.85526275634766
W+0_RB1in_S05,96.20209884643555
W+0_RB1out_S05,97.76785659790039
W+0_RB2in_S05,71.77875391642253
W+0_RB2out_S05,89.57419204711914
W+0_RB3-_S05,93.55656814575195
W+0_RB3+_S05,96.42856979370117
W+0_RB4-_S05,87.99542617797852
W+0_RB4+_S05,82.69230651855469
W+0_RB4--_S05,0.0
W+0_RB4++_S05,0.0
W+0_RB1in_S06,95.90840530395508
W+0_RB1out_S06,97.20279693603516
W+0_RB2in_S06,100.0
W+0_RB2out_S06,90.1001091003418
W+0_RB3-_S06,95.45454788208008
W+0_RB3+_S06,100.0
W+0_RB4-_S06,72.5
W+0_RB4+_S06,100.0
W+0_RB4--_S06,0.0
W+0_RB4++_S06,0.0
W+0_RB1in_S07,100.0
W+0_RB1out_S07,94.0476188659668
W+0_RB2in_S07,88.88889058430989
W+0_RB2out_S07,100.0
W+0_RB3-_S07,100.0
W+0_RB3+_S07,95.45454788208008
W+0_RB4-_S07,0.0
W+0_RB4+_S07,0.0
W+0_RB4--_S07,0.0
W+0_RB4++_S07,0.0
W+0_RB1in_S08,94.52629089355469
W+0_RB1out_S08,97.59321594238281
W+0_RB2in_S08,97.51202646891277
W+0_RB2out_S08,95.55968475341797
W+0_RB3-_S08,97.03068923950195
W+0_RB3+_S08,90.25519943237305
W+0_RB4-_S08,93.936279296875
W+0_RB4+_S08,94.41517639160156
W+0_RB4--_S08,0.0
W+0_RB4++_S08,0.0
W+0_RB1in_S09,95.12321090698242
W+0_RB1out_S09,93.65777969360352
W+0_RB2in_S09,97.21821848551433
W+0_RB2out_S09,96.58736801147461
W+0_RB3-_S09,98.10832595825195
W+0_RB3+_S09,97.23661804199219
W+0_RB4_S09,95.3540267944336
W+0_RB4+_S09,0.0
W+0_RB4--_S09,0.0
W+0_RB4++_S09,0.0
W+0_RB1in_S10,95.82864761352539
W+0_RB1out_S10,97.8233413696289
W+0_RB2in_S10,95.4171625773112
