chamber,fid_eff_ch_level
W-2_RB1in_S01,94.98747253417969
W-2_RB1out_S01,88.44085693359375
W-2_RB2in_S01,92.33193588256836
W-2_RB2out_S01,93.42252095540364
W-2_RB3-_S01,91.66666412353516
W-2_RB3+_S01,85.0
W-2_RB4-_S01,0.0
W-2_RB4+_S01,100.0
W-2_RB4--_S01,0.0
W-2_RB4++_S01,0.0
W-2_RB1in_S02,97.5
W-2_RB1out_S02,100.0
W-2_RB2in_S02,93.02884674072266
W-2_RB2out_S02,97.22222391764323
W-2_RB3-_S02,97.5
W-2_RB3+_S02,0.0
W-2_RB4-_S02,50.0
W-2_RB4+_S02,94.4444465637207
W-2_RB4--_S02,0.0
W-2_RB4++_S02,0.0
W-2_RB1in_S03,95.04869842529297
W-2_RB1out_S03,95.0103530883789
W-2_RB2in_S03,94.23076629638672
W-2_RB2out_S03,90.61642456054688
W-2_RB3-_S03,0.0
W-2_RB3+_S03,81.2415657043457
W-2_RB4-_S03,70.00000190734863
W-2_RB4+_S03,78.75
W-2_RB4--_S03,0.0
W-2_RB4++_S03,0.0
W-2_RB1in_S04,97.23025894165039
W-2_RB1out_S04,96.80915832519531
W-2_RB2in_S04,94.17869567871094
W-2_RB2out_S04,94.25082651774089
W-2_RB3-_S04,96.69117736816406
W-2_RB3+_S04,0.0
W-2_RB4-_S04,0.0
W-2_RB4+_S04,77.61261177062988
W-2_RB4--_S04,65.00000190734863
W-2_RB4++_S04,84.52380752563477
W-2_RB1in_S05,95.61403274536133
W-2_RB1out_S05,95.6043930053711
W-2_RB2in_S05,94.41354751586914
W-2_RB2out_S05,98.08113861083984
W-2_RB3-_S05,68.89534950256348
W-2_RB3+_S05,67.45689392089844
W-2_RB4-_S05,0.0
W-2_RB4+_S05,78.88888931274414
W-2_RB4--_S05,0.0
W-2_RB4++_S05,0.0
W-2_RB1in_S06,100.0
W-2_RB1out_S06,100.0
W-2_RB2in_S06,92.30769348144531
W-2_RB2out_S06,97.43589782714844
W-2_RB3-_S06,96.7741928100586
W-2_RB3+_S06,90.0
W-2_RB4-_S06,87.5
W-2_RB4+_S06,0.0
W-2_RB4--_S06,0.0
W-2_RB4++_S06,0.0
W-2_RB1in_S07,100.0
W-2_RB1out_S07,100.0
W-2_RB2in_S07,50.0
W-2_RB2out_S07,66.66666666666667
W-2_RB3-_S07,50.0
W-2_RB3+_S07,100.0
W-2_RB4-_S07,0.0
W-2_RB4+_S07,75.0
W-2_RB4--_S07,0.0
W-2_RB4++_S07,0.0
W-2_RB1in_S08,94.0519790649414
W-2_RB1out_S08,81.73912811279297
W-2_RB2in_S08,93.85454940795898
W-2_RB2out_S08,96.05283610026042
W-2_RB3-_S08,96.10681533813477
W-2_RB3+_S08,92.72296524047852
W-2_RB4-_S08,83.16666793823242
W-2_RB4+_S08,0.0
W-2_RB4--_S08,0.0
W-2_RB4++_S08,0.0
W-2_RB1in_S09,94.46600723266602
W-2_RB1out_S09,95.77486038208008
