chamber,contains_zero_roll,rolls_count,fid_eff_ch_level
W-2_RB1in_S01,0,2,70.90909385681152
W-2_RB1out_S01,0,2,84.09090805053711
W-2_RB2in_S01,0,2,93.37944793701172
W-2_RB2out_S01,0,3,93.01994323730469
W-2_RB3-_S01,0,2,100.0
W-2_RB3+_S01,0,2,100.0
W-2_RB4-_S01,1,2,0.0
W-2_RB4+_S01,1,2,50.0
W-2_RB4--_S01,1,2,0.0
W-2_RB4++_S01,1,2,0.0
W-2_RB1in_S02,0,2,91.02484512329102
W-2_RB1out_S02,0,2,96.06481170654297
W-2_RB2in_S02,0,2,95.83333587646484
W-2_RB2out_S02,0,3,96.07843271891277
W-2_RB3-_S02,1,2,45.65217590332031
W-2_RB3+_S02,1,2,0.0
W-2_RB4-_S02,0,2,100.0
W-2_RB4+_S02,0,2,75.0
W-2_RB4--_S02,1,2,0.0
W-2_RB4++_S02,1,2,0.0
W-2_RB1in_S03,0,2,94.90510177612305
W-2_RB1out_S03,0,2,96.99641799926758
W-2_RB2in_S03,0,2,95.05882263183594
W-2_RB2out_S03,0,3,92.99517313639323
W-2_RB3-_S03,1,2,0.0
W-2_RB3+_S03,0,2,82.15409088134766
W-2_RB4-_S03,0,2,79.99999618530273
W-2_RB4+_S03,0,2,80.57598495483398
W-2_RB4--_S03,1,2,0.0
W-2_RB4++_S03,1,2,0.0
W-2_RB1in_S04,0,2,97.50387573242188
W-2_RB1out_S04,0,2,95.6179428100586
W-2_RB2in_S04,0,2,96.75324630737305
W-2_RB2out_S04,0,3,93.37327575683594
W-2_RB3-_S04,0,2,96.70658874511719
W-2_RB3+_S04,0,2,95.82535934448242
W-2_RB4-_S04,1,2,0.0
W-2_RB4+_S04,0,2,81.68168258666992
W-2_RB4--_S04,0,2,67.98780632019043
W-2_RB4++_S04,0,2,75.21008682250977
W-2_RB1in_S05,0,2,94.98090362548828
W-2_RB1out_S05,0,2,95.80987930297852
W-2_RB2in_S05,0,2,96.60087203979492
W-2_RB2out_S05,0,3,98.57142893473308
W-2_RB3-_S05,0,2,87.38095092773438
W-2_RB3+_S05,0,2,95.83333587646484
W-2_RB4-_S05,1,2,0.0
W-2_RB4+_S05,1,2,0.0
W-2_RB4--_S05,1,2,0.0
W-2_RB4++_S05,1,2,0.0
W-2_RB1in_S06,0,2,96.0
W-2_RB1out_S06,0,2,97.7272720336914
W-2_RB2in_S06,0,2,100.0
W-2_RB2out_S06,0,3,96.66666666666667
W-2_RB3-_S06,0,2,95.5882339477539
W-2_RB3+_S06,0,2,98.07692337036133
W-2_RB4-_S06,0,2,79.22077941894531
W-2_RB4+_S06,0,2,83.33333587646484
W-2_RB4--_S06,1,2,0.0
W-2_RB4++_S06,1,2,0.0
W-2_RB1in_S07,0,2,95.83333587646484
W-2_RB1out_S07,0,2,91.66666412353516
W-2_RB2in_S07,1,2,50.0
W-2_RB2out_S07,1,3,66.66666666666667
W-2_RB3-_S07,1,2,50.0
W-2_RB3+_S07,0,2,100.0
W-2_RB4-_S07,1,2,0.0
W-2_RB4+_S07,1,2,0.0
W-2_RB4--_S07,1,2,0.0
W-2_RB4++_S07,1,2,0.0
W-2_RB1in_S08,0,2,95.22004318237305
W-2_RB1out_S08,0,2,84.01960754394531
W-2_RB2in_S08,0,2,93.57613754272461
W-2_RB2out_S08,0,3,96.14251200358073
W-2_RB3-_S08,0,2,97.40740585327148
W-2_RB3+_S08,0,2,94.50153732299805
W-2_RB4-_S08,0,2,81.26113891601562
W-2_RB4+_S08,1,2,0.0
W-2_RB4--_S08,1,2,0.0
W-2_RB4++_S08,1,2,0.0
W-2_RB1in_S09,0,2,92.44231033325195
W-2_RB1out_S09,0,2,96.54341125488281
W-2_RB2in_S09,0,2,96.07134246826172
W-2_RB2out_S09,0,3,96.17917887369792
W-2_RB3-_S09,0,2,95.12771224975586
W-2_RB3+_S09,0,2,92.34040832519531
W-2_RB4_S09,0,2,86.07682037353516
W-2_RB4+_S09,1,2,0.0
W-2_RB4--_S09,1,2,0.0
W-2_RB4++_S09,1,2,0.0
W-2_RB1in_S10,0,2,96.2488784790039
W-2_RB1out_S10,0,2,92.93682098388672
W-2_RB2in_S10,0,2,95.83578872680664
W-2_RB2out_S10,0,3,95.86598459879558
W-2_RB3-_S10,0,2,87.4897232055664
W-2_RB3+_S10,0,2,95.81130981445312
W-2_RB4-_S10,0,2,85.58113861083984
W-2_RB4+_S10,0,2,88.79341506958008
W-2_RB4--_S10,1,2,0.0
W-2_RB4++_S10,1,2,0.0
W-2_RB1in_S11,0,2,86.96415328979492
W-2_RB1out_S11,0,2,94.8630599975586
W-2_RB2in_S11,0,2,94.7352066040039
W-2_RB2out_S11,0,3,95.7394027709961
W-2_RB3-_S11,0,2,95.84528732299805
W-2_RB3+_S11,0,2,98.17708587646484
W-2_RB4_S11,0,2,87.15757369995117
W-2_RB4+_S11,1,2,0.0
W-2_RB4--_S11,1,2,0.0
W-2_RB4++_S11,1,2,0.0
W-2_RB1in_S12,0,2,92.55156707763672
W-2_RB1out_S12,0,2,95.85403823852539
W-2_RB2in_S12,0,2,95.60810852050781
W-2_RB2out_S12,0,3,98.69281005859375
W-2_RB3-_S12,0,2,97.71241760253906
W-2_RB3+_S12,1,2,0.0
W-2_RB4-_S12,0,2,88.33333206176758
W-2_RB4+_S12,0,2,91.3725471496582
W-2_RB4--_S12,1,2,0.0
W-2_RB4++_S12,1,2,0.0
W-1_RB1in_S01,0,2,96.42856979370117
W-1_RB1out_S01,0,2,100.0
W-1_RB2in_S01,0,3,100.0
W-1_RB2out_S01,0,2,96.42856979370117
W-1_RB3-_S01,1,2,0.0
