chamber,fid_eff_ch_level
W-2_RB1in_S01,96.6111068725586
W-2_RB1out_S01,97.66262817382812
W-2_RB2in_S01,98.18641662597656
W-2_RB2out_S01,98.18580881754558
W-2_RB3-_S01,97.71265029907227
W-2_RB3+_S01,98.13959503173828
W-2_RB4-_S01,0.0
W-2_RB4+_S01,94.68085098266602
W-2_RB4--_S01,0.0
W-2_RB4++_S01,0.0
W-2_RB1in_S02,96.70014572143555
W-2_RB1out_S02,97.44346618652344
W-2_RB2in_S02,97.87646102905273
W-2_RB2out_S02,98.31238047281902
W-2_RB3-_S02,97.28719329833984
W-2_RB3+_S02,0.0
W-2_RB4-_S02,89.53586196899414
W-2_RB4+_S02,97.11619567871094
W-2_RB4--_S02,0.0
W-2_RB4++_S02,0.0
W-2_RB1in_S03,96.75578689575195
W-2_RB1out_S03,97.63793563842773
W-2_RB2in_S03,95.18693542480469
W-2_RB2out_S03,98.09585062662761
W-2_RB3-_S03,0.0
W-2_RB3+_S03,88.51998519897461
W-2_RB4-_S03,90.17761993408203
W-2_RB4+_S03,97.1937484741211
W-2_RB4--_S03,0.0
W-2_RB4++_S03,0.0
W-2_RB1in_S04,97.31713485717773
W-2_RB1out_S04,97.53814315795898
W-2_RB2in_S04,96.93392181396484
W-2_RB2out_S04,93.93510182698567
W-2_RB3-_S04,96.2248764038086
W-2_RB3+_S04,99.41793441772461
W-2_RB4-_S04,0.0
W-2_RB4+_S04,97.96217346191406
W-2_RB4--_S04,96.84895324707031
W-2_RB4++_S04,90.76434326171875
W-2_RB1in_S05,97.11867904663086
W-2_RB1out_S05,97.35375213623047
W-2_RB2in_S05,95.20689392089844
W-2_RB2out_S05,98.14709726969402
W-2_RB3-_S05,97.71805572509766
W-2_RB3+_S05,96.77730941772461
W-2_RB4-_S05,0.0
W-2_RB4+_S05,95.38766860961914
W-2_RB4--_S05,0.0
W-2_RB4++_S05,0.0
W-2_RB1in_S06,97.03174591064453
W-2_RB1out_S06,97.1928939819336
W-2_RB2in_S06,98.8189811706543
W-2_RB2out_S06,98.17394510904948
W-2_RB3-_S06,97.20318984985352
W-2_RB3+_S06,98.15283966064453
W-2_RB4-_S06,93.82824325561523
W-2_RB4+_S06,97.17039489746094
W-2_RB4--_S06,0.0
W-2_RB4++_S06,0.0
W-2_RB1in_S07,96.94356536865234
W-2_RB1out_S07,98.02045440673828
W-2_RB2in_S07,90.68047332763672
W-2_RB2out_S07,98.11290486653645
W-2_RB3-_S07,97.86146545410156
W-2_RB3+_S07,96.22759246826172
W-2_RB4-_S07,0.0
W-2_RB4+_S07,96.0227279663086
W-2_RB4--_S07,0.0
W-2_RB4++_S07,0.0
W-2_RB1in_S08,96.0555648803711
W-2_RB1out_S08,82.2071304321289
W-2_RB2in_S08,97.4244155883789
W-2_RB2out_S08,98.27040354410808
W-2_RB3-_S08,98.38683319091797
W-2_RB3+_S08,98.2698860168457
W-2_RB4-_S08,88.52206039428711
W-2_RB4+_S08,0.0
W-2_RB4--_S08,0.0
W-2_RB4++_S08,0.0
W-2_RB1in_S09,96.4524154663086
W-2_RB1out_S09,97.1396713256836
W-2_RB2in_S09,97.53225326538086
W-2_RB2out_S09,96.11913553873698
W-2_RB3-_S09,98.11431503295898
W-2_RB3+_S09,94.72770690917969
W-2_RB4_S09,96.65093231201172
W-2_RB4+_S09,0.0
W-2_RB4--_S09,0.0
W-2_RB4++_S09,0.0
W-2_RB1in_S10,96.73039627075195
W-2_RB1out_S10,94.9130630493164
W-2_RB2in_S10,98.97753143310547
W-2_RB2out_S10,98.26999155680339
W-2_RB3-_S10,92.00725173950195
W-2_RB3+_S10,97.93950653076172
W-2_RB4-_S10,97.50738906860352
W-2_RB4+_S10,98.00624465942383
W-2_RB4--_S10,0.0
W-2_RB4++_S10,0.0
W-2_RB1in_S11,87.95001983642578
W-2_RB1out_S11,95.84874725341797
W-2_RB2in_S11,97.60757446289062
W-2_RB2out_S11,98.04611714680989
W-2_RB3-_S11,98.00812530517578
W-2_RB3+_S11,98.04821395874023
W-2_RB4_S11,98.14927291870117
W-2_RB4+_S11,0.0
W-2_RB4--_S11,0.0
W-2_RB4++_S11,0.0
W-2_RB1in_S12,97.4599609375
W-2_RB1out_S12,97.24947357177734
W-2_RB2in_S12,96.04778671264648
W-2_RB2out_S12,98.14289855957031
W-2_RB3-_S12,99.61692428588867
W-2_RB3+_S12,0.0
W-2_RB4-_S12,98.91729354858398
W-2_RB4+_S12,97.8245735168457
W-2_RB4--_S12,0.0
W-2_RB4++_S12,0.0
W-1_RB1in_S01,97.42931747436523
W-1_RB1out_S01,97.8773307800293
W-1_RB2in_S01,97.42347717285156
W-1_RB2out_S01,96.12110900878906
W-1_RB3-_S01,0.0
W-1_RB3+_S01,0.0
W-1_RB4-_S01,0.0
W-1_RB4+_S01,98.13876724243164
W-1_RB4--_S01,0.0
W-1_RB4++_S01,0.0
W-1_RB1in_S02,95.48557662963867
W-1_RB1out_S02,95.2527961730957
W-1_RB2in_S02,98.46402231852214
W-1_RB2out_S02,95.53622817993164
W-1_RB3-_S02,97.05435562133789
W-1_RB3+_S02,97.62225341796875
W-1_RB4-_S02,0.0
W-1_RB4+_S02,0.0
W-1_RB4--_S02,0.0
W-1_RB4++_S02,0.0
W-1_RB1in_S03,96.52662658691406
W-1_RB1out_S03,97.57145309448242
W-1_RB2in_S03,97.84601084391277
W-1_RB2out_S03,94.59359359741211
W-1_RB3-_S03,98.25405502319336
W-1_RB3+_S03,97.49578857421875
W-1_RB4-_S03,96.6218490600586
W-1_RB4+_S03,96.95167541503906
W-1_RB4--_S03,0.0
W-1_RB4++_S03,0.0
W-1_RB1in_S04,96.9311294555664
W-1_RB1out_S04,47.19023513793945
W-1_RB2in_S04,92.053955078125
W-1_RB2out_S04,0.0
W-1_RB3-_S04,97.49671173095703
W-1_RB3+_S04,97.01490020751953
W-1_RB4-_S04,97.74688720703125
W-1_RB4+_S04,0.0
W-1_RB4--_S04,96.11716842651367
W-1_RB4++_S04,0.0
W-1_RB1in_S05,95.78049850463867
W-1_RB1out_S05,98.02766418457031
W-1_RB2in_S05,97.65342203776042
W-1_RB2out_S05,97.81781768798828
W-1_RB3-_S05,97.95472717285156
W-1_RB3+_S05,98.06810760498047
W-1_RB4-_S05,0.0
W-1_RB4+_S05,0.0
W-1_RB4--_S05,0.0
W-1_RB4++_S05,0.0
W-1_RB1in_S06,96.9581413269043
W-1_RB1out_S06,96.90485000610352
W-1_RB2in_S06,95.18742116292317
W-1_RB2out_S06,96.8141975402832
W-1_RB3-_S06,94.5603141784668
W-1_RB3+_S06,90.8208236694336
W-1_RB4-_S06,79.21588897705078
W-1_RB4+_S06,96.85991668701172
W-1_RB4--_S06,0.0
W-1_RB4++_S06,0.0
W-1_RB1in_S07,97.76383972167969
W-1_RB1out_S07,97.80646514892578
W-1_RB2in_S07,83.87877909342448
W-1_RB2out_S07,0.0
W-1_RB3-_S07,97.63839340209961
W-1_RB3+_S07,97.75688552856445
W-1_RB4-_S07,0.0
W-1_RB4+_S07,0.0
W-1_RB4--_S07,0.0
W-1_RB4++_S07,0.0
W-1_RB1in_S08,93.95320510864258
W-1_RB1out_S08,95.20124816894531
W-1_RB2in_S08,97.41892496744792
W-1_RB2out_S08,94.99607849121094
W-1_RB3-_S08,97.26678466796875
W-1_RB3+_S08,92.97909545898438
W-1_RB4-_S08,0.0
W-1_RB4+_S08,0.0
W-1_RB4--_S08,0.0
W-1_RB4++_S08,0.0
W-1_RB1in_S09,96.48612213134766
W-1_RB1out_S09,97.54985427856445
W-1_RB2in_S09,97.05294799804688
W-1_RB2out_S09,95.95003509521484
W-1_RB3-_S09,91.54299926757812
W-1_RB3+_S09,95.50100326538086
W-1_RB4_S09,96.19278335571289
W-1_RB4+_S09,0.0
W-1_RB4--_S09,0.0
W-1_RB4++_S09,0.0
W-1_RB1in_S10,96.73099517822266
W-1_RB1out_S10,97.45723342895508
W-1_RB2in_S10,98.02193705240886
W-1_RB2out_S10,97.31074905395508
W-1_RB3-_S10,47.251243591308594
W-1_RB3+_S10,48.397491455078125
W-1_RB4-_S10,94.31264114379883
W-1_RB4+_S10,96.74917984008789
W-1_RB4--_S10,0.0
W-1_RB4++_S10,0.0
W-1_RB1in_S11,96.76446914672852
W-1_RB1out_S11,97.87678146362305
W-1_RB2in_S11,92.36886088053386
W-1_RB2out_S11,97.52873611450195
W-1_RB3-_S11,0.0
W-1_RB3+_S11,79.84984970092773
W-1_RB4_S11,96.4544792175293
W-1_RB4+_S11,0.0
W-1_RB4--_S11,0.0
W-1_RB4++_S11,0.0
W-1_RB1in_S12,96.78496551513672
W-1_RB1out_S12,95.69359970092773
W-1_RB2in_S12,97.88086700439453
W-1_RB2out_S12,84.1031379699707
W-1_RB3-_S12,97.19165420532227
W-1_RB3+_S12,0.0
W-1_RB4-_S12,97.15282821655273
W-1_RB4+_S12,88.61047744750977
W-1_RB4--_S12,0.0
W-1_RB4++_S12,0.0
W+0_RB1in_S01,95.17550277709961
W+0_RB1out_S01,97.26370620727539
W+0_RB2in_S01,98.28668467203777
W+0_RB2out_S01,85.1673469543457
W+0_RB3-_S01,97.67385864257812
W+0_RB3+_S01,98.13433837890625
W+0_RB4-_S01,0.0
W+0_RB4+_S01,0.0
W+0_RB4--_S01,0.0
W+0_RB4++_S01,0.0
W+0_RB1in_S02,88.77411270141602
W+0_RB1out_S02,98.02353286743164
W+0_RB2in_S02,97.56112162272136
W+0_RB2out_S02,96.39518737792969
W+0_RB3-_S02,91.333251953125
W+0_RB3+_S02,96.83111953735352
W+0_RB4-_S02,94.0358772277832
W+0_RB4+_S02,85.06634521484375
W+0_RB4--_S02,0.0
W+0_RB4++_S02,0.0
W+0_RB1in_S03,96.13994598388672
W+0_RB1out_S03,97.91231155395508
W+0_RB2in_S03,94.50312805175781
W+0_RB2out_S03,94.0180778503418
W+0_RB3-_S03,79.35022926330566
W+0_RB3+_S03,98.68774032592773
W+0_RB4-_S03,98.27710342407227
W+0_RB4+_S03,96.65385055541992
W+0_RB4--_S03,0.0
W+0_RB4++_S03,0.0
W+0_RB1in_S04,96.85721206665039
W+0_RB1out_S04,96.99570846557617
W+0_RB2in_S04,98.09695434570312
W+0_RB2out_S04,96.9687385559082
W+0_RB3-_S04,95.31284713745117
W+0_RB3+_S04,0.0
W+0_RB4-_S04,97.33892059326172
W+0_RB4+_S04,97.5101547241211
W+0_RB4--_S04,97.22396469116211
W+0_RB4++_S04,97.27108001708984
W+0_RB1in_S05,96.69108581542969
W+0_RB1out_S05,97.42085266113281
W+0_RB2in_S05,70.458251953125
W+0_RB2out_S05,92.26474380493164
W+0_RB3-_S05,98.14833068847656
W+0_RB3+_S05,96.71203231811523
W+0_RB4-_S05,93.06915283203125
W+0_RB4+_S05,96.95757293701172
W+0_RB4--_S05,0.0
W+0_RB4++_S05,0.0
