chamber,fid_eff_roll_level
W-2_RB1in_B_S01,78.125
W-2_RB1in_F_S01,100.0
W-2_RB1out_B_S01,91.30435180664062
W-2_RB1out_F_S01,90.0
W-2_RB2in_B_S01,86.9565200805664
W-2_RB2in_F_S01,93.33333587646484
W-2_RB2out_M_S01,92.30769348144531
W-2_RB2out_B_S01,85.71428680419922
W-2_RB2out_F_S01,94.73684692382812
W-2_RB3-_B_S01,100.0
W-2_RB3-_F_S01,100.0
W-2_RB3+_B_S01,100.0
W-2_RB3+_F_S01,100.0
W-2_RB4-_B_S01,0.0
W-2_RB4-_F_S01,0.0
W-2_RB4+_B_S01,100.0
W-2_RB4+_F_S01,100.0
W-2_RB4--_B_S01,0.0
W-2_RB4--_F_S01,0.0
W-2_RB4++_B_S01,0.0
W-2_RB4++_F_S01,0.0
W-2_RB1in_B_S02,93.18181610107422
W-2_RB1in_F_S02,93.02326202392578
W-2_RB1out_B_S02,100.0
W-2_RB1out_F_S02,98.0
W-2_RB2in_B_S02,100.0
W-2_RB2in_F_S02,100.0
W-2_RB2out_M_S02,100.0
W-2_RB2out_B_S02,88.8888931274414
W-2_RB2out_F_S02,100.0
W-2_RB3-_B_S02,100.0
W-2_RB3-_F_S02,100.0
W-2_RB3+_B_S02,0.0
W-2_RB3+_F_S02,0.0
W-2_RB4-_B_S02,100.0
W-2_RB4-_F_S02,100.0
W-2_RB4+_B_S02,100.0
W-2_RB4+_F_S02,63.6363639831543
W-2_RB4--_B_S02,0.0
W-2_RB4--_F_S02,0.0
W-2_RB4++_B_S02,0.0
W-2_RB4++_F_S02,0.0
W-2_RB1in_B_S03,95.6043930053711
W-2_RB1in_F_S03,97.01493072509766
W-2_RB1out_B_S03,98.07691955566406
W-2_RB1out_F_S03,98.66667175292969
W-2_RB2in_B_S03,95.74468231201172
W-2_RB2in_F_S03,92.45282745361328
W-2_RB2out_M_S03,88.23529815673828
W-2_RB2out_B_S03,97.14286041259766
W-2_RB2out_F_S03,100.0
W-2_RB3-_B_S03,0.0
W-2_RB3-_F_S03,0.0
W-2_RB3+_B_S03,74.19355010986328
W-2_RB3+_F_S03,90.0
W-2_RB4-_B_S03,87.5
W-2_RB4-_F_S03,75.0
W-2_RB4+_B_S03,94.73684692382812
W-2_RB4+_F_S03,82.35294342041016
W-2_RB4--_B_S03,0.0
W-2_RB4--_F_S03,0.0
W-2_RB4++_B_S03,0.0
W-2_RB4++_F_S03,0.0
W-2_RB1in_B_S04,97.22222137451172
W-2_RB1in_F_S04,96.8553466796875
W-2_RB1out_B_S04,95.1219482421875
W-2_RB1out_F_S04,97.11538696289062
W-2_RB2in_B_S04,95.04950714111328
W-2_RB2in_F_S04,97.36841583251953
W-2_RB2out_M_S04,86.0465087890625
W-2_RB2out_B_S04,92.40505981445312
W-2_RB2out_F_S04,98.85057067871094
W-2_RB3-_B_S04,93.60465240478516
W-2_RB3-_F_S04,91.66667175292969
W-2_RB3+_B_S04,95.09803771972656
W-2_RB3+_F_S04,96.7741928100586
W-2_RB4-_B_S04,0.0
W-2_RB4-_F_S04,0.0
W-2_RB4+_B_S04,92.85713958740234
W-2_RB4+_F_S04,64.28571319580078
W-2_RB4--_B_S04,85.71428680419922
