chamber,wheel,sector,station,avg_cluster_size,occupancy,avg_bx_dist,avg_no_of_clusters,avg_multiplicity,lumisections,type,avg_efficiency
W-2_RB1in_S01,-2,1,1,1.8956,9260,0.014739,1.00494,1.90496,131,Col,49.159065246500006
W-2_RB1out_S01,-2,1,1,1.86138,8352,0.0173836,1.00448,1.86971,131,Col,55.115119934
W-2_RB2in_S01,-2,1,2,1.98668,9991,0.0123285,1.00439,1.99541,131,Col,77.4180908205
W-2_RB2out_S01,-2,1,2,1.81836,8419,0.012527,1.00347,1.82466,131,Col,80.45095316566666
W-2_RB3+_S01,-2,1,3,1.86244,4021,0.00463177,1.00279,1.86763,131,Col,91.251781464
W-2_RB3-_S01,-2,1,3,1.86116,4169,0.00535714,1.00089,1.86282,131,Col,92.1279449465
W-2_RB4+_S01,-2,1,4,1.86084,3878,0.00191939,1.00192,1.86442,131,Col,50.0
W-2_RB4-_S01,-2,1,4,0.0,0,0.0,0.0,0.0,131,Col,0.0
W-2_RB1in_S02,-2,2,1,1.96847,10362,0.0142477,1.00439,1.9771,131,Col,51.622659683500004
W-2_RB1out_S02,-2,2,1,2.17902,10261,0.0172011,1.00341,2.18645,131,Col,57.2654953005
W-2_RB2in_S02,-2,2,2,1.80032,9106,0.0146303,1.00238,1.8046,131,Col,76.6164627075
W-2_RB2out_S02,-2,2,2,2.25695,10479,0.0174456,1.00173,2.26084,131,Col,80.344347636
W-2_RB3+_S02,-2,2,3,0.0,0,0.0,0.0,0.0,131,Col,0.0
W-2_RB3-_S02,-2,2,3,1.68389,3617,0.00837989,1.0,1.68389,131,Col,90.54082489
W-2_RB4+_S02,-2,2,4,1.80251,3879,0.00418216,1.00093,1.80419,131,Col,78.571428299
W-2_RB4-_S02,-2,2,4,1.70792,3298,0.015536,1.00052,1.70881,131,Col,0.0
W-2_RB1in_S03,-2,3,1,2.02004,10181,0.010119,1.00438,2.0289,131,Col,50.362108231
W-2_RB1out_S03,-2,3,1,2.03357,9330,0.0113339,1.00482,2.04336,131,Col,54.608203888
W-2_RB2in_S03,-2,3,2,2.1391,10580,0.0131419,1.00304,2.14561,131,Col,74.4319343565
W-2_RB2out_S03,-2,3,2,1.98372,9262,0.0160634,1.00258,1.98883,131,Col,80.681137085
W-2_RB3+_S03,-2,3,3,1.60385,2996,0.00481799,1.00215,1.6073,131,Col,80.3500785825
W-2_RB3-_S03,-2,3,3,0.0,0,0.0,0.0,0.0,131,Col,0.0
W-2_RB4+_S03,-2,3,4,1.6711,3389,0.00690335,1.00148,1.67358,131,Col,55.55555343649999
W-2_RB4-_S03,-2,3,4,1.86287,3763,0.0049505,1.00099,1.86472,131,Col,75.0
W-2_RB1in_S04,-2,4,1,2.0151,10011,0.011876,1.00364,2.02242,131,Col,50.0805606845
W-2_RB1out_S04,-2,4,1,2.28024,10293,0.00819672,1.00378,2.28886,131,Col,54.652307510499995
W-2_RB2in_S04,-2,4,2,2.01209,9654,0.0135473,1.00461,2.02136,131,Col,76.7437553405
