chamber,fid_eff_roll_level
W-2_RB1in_B_S01,95.01779174804688
W-2_RB1in_F_S01,97.36264038085938
W-2_RB1out_B_S01,95.98811340332031
W-2_RB1out_F_S01,97.01195526123047
W-2_RB2in_B_S01,97.7227783203125
W-2_RB2in_F_S01,98.4000015258789
W-2_RB2out_M_S01,98.70549774169922
W-2_RB2out_B_S01,98.125
W-2_RB2out_F_S01,98.89299011230469
W-2_RB3-_B_S01,97.18614959716797
W-2_RB3-_F_S01,98.67374420166016
W-2_RB3+_B_S01,97.9228515625
W-2_RB3+_F_S01,98.77301025390625
W-2_RB4-_B_S01,0.0
W-2_RB4-_F_S01,0.0
W-2_RB4+_B_S01,100.0
W-2_RB4+_F_S01,0.0
W-2_RB4--_B_S01,0.0
W-2_RB4--_F_S01,0.0
W-2_RB4++_B_S01,0.0
W-2_RB4++_F_S01,0.0
W-2_RB1in_B_S02,94.73684692382812
W-2_RB1in_F_S02,97.95500946044922
W-2_RB1out_B_S02,94.63768005371094
W-2_RB1out_F_S02,98.65125274658203
W-2_RB2in_B_S02,98.21595764160156
W-2_RB2in_F_S02,96.95122528076172
W-2_RB2out_M_S02,96.40625
W-2_RB2out_B_S02,97.81312561035156
W-2_RB2out_F_S02,100.0
W-2_RB3-_B_S02,96.94117736816406
W-2_RB3-_F_S02,97.19888305664062
W-2_RB3+_B_S02,0.0
W-2_RB3+_F_S02,0.0
W-2_RB4-_B_S02,90.0
W-2_RB4-_F_S02,100.0
W-2_RB4+_B_S02,97.8494644165039
W-2_RB4+_F_S02,96.15384674072266
W-2_RB4--_B_S02,0.0
W-2_RB4--_F_S02,0.0
W-2_RB4++_B_S02,0.0
W-2_RB4++_F_S02,0.0
W-2_RB1in_B_S03,96.39469146728516
W-2_RB1in_F_S03,97.27462768554688
W-2_RB1out_B_S03,94.94470977783203
W-2_RB1out_F_S03,98.37398529052734
W-2_RB2in_B_S03,98.4375
W-2_RB2in_F_S03,89.08045959472656
W-2_RB2out_M_S03,98.28767395019531
W-2_RB2out_B_S03,97.54463958740234
W-2_RB2out_F_S03,98.00797271728516
W-2_RB3-_B_S03,0.0
W-2_RB3-_F_S03,0.0
W-2_RB3+_B_S03,78.3382797241211
W-2_RB3+_F_S03,99.3846206665039
W-2_RB4-_B_S03,100.0
W-2_RB4-_F_S03,84.56973266601562
W-2_RB4+_B_S03,94.26229858398438
W-2_RB4+_F_S03,97.43589782714844
W-2_RB4--_B_S03,0.0
W-2_RB4--_F_S03,0.0
W-2_RB4++_B_S03,0.0
W-2_RB4++_F_S03,0.0
W-2_RB1in_B_S04,96.09507751464844
W-2_RB1in_F_S04,98.3132553100586
W-2_RB1out_B_S04,98.55072784423828
W-2_RB1out_F_S04,95.53571319580078
W-2_RB2in_B_S04,96.02094268798828
W-2_RB2in_F_S04,98.13333129882812
W-2_RB2out_M_S04,89.20354461669922
W-2_RB2out_B_S04,93.3920669555664
W-2_RB2out_F_S04,99.62406158447266
W-2_RB3-_B_S04,98.66667175292969
W-2_RB3-_F_S04,94.08283996582031
W-2_RB3+_B_S04,100.0
W-2_RB3+_F_S04,100.0
W-2_RB4-_B_S04,0.0
W-2_RB4-_F_S04,0.0
W-2_RB4+_B_S04,97.89473724365234
W-2_RB4+_F_S04,98.88268280029297
W-2_RB4--_B_S04,93.33333587646484
W-2_RB4--_F_S04,96.0227279663086
W-2_RB4++_B_S04,95.23809814453125
W-2_RB4++_F_S04,80.74073791503906
W-2_RB1in_B_S05,96.03804016113281
W-2_RB1in_F_S05,99.35344696044922
W-2_RB1out_B_S05,97.69451904296875
W-2_RB1out_F_S05,95.387451171875
W-2_RB2in_B_S05,92.6966323852539
W-2_RB2in_F_S05,98.32935333251953
W-2_RB2out_M_S05,98.22293853759766
W-2_RB2out_B_S05,96.66011810302734
W-2_RB2out_F_S05,97.53520965576172
W-2_RB3-_B_S05,97.81021881103516
W-2_RB3-_F_S05,97.47474670410156
W-2_RB3+_B_S05,96.46017456054688
W-2_RB3+_F_S05,99.13294982910156
W-2_RB4-_B_S05,0.0
W-2_RB4-_F_S05,0.0
W-2_RB4+_B_S05,98.75
W-2_RB4+_F_S05,92.95774841308594
W-2_RB4--_B_S05,0.0
W-2_RB4--_F_S05,0.0
W-2_RB4++_B_S05,0.0
W-2_RB4++_F_S05,0.0
W-2_RB1in_B_S06,95.45454406738281
W-2_RB1in_F_S06,98.55371856689453
W-2_RB1out_B_S06,98.08259582519531
W-2_RB1out_F_S06,96.52510070800781
W-2_RB2in_B_S06,98.77925109863281
W-2_RB2in_F_S06,98.0049819946289
W-2_RB2out_M_S06,97.50830841064453
W-2_RB2out_B_S06,98.68708801269531
W-2_RB2out_F_S06,98.25174713134766
W-2_RB3-_B_S06,96.08294677734375
W-2_RB3-_F_S06,99.13294982910156
W-2_RB3+_B_S06,97.69451904296875
W-2_RB3+_F_S06,99.06832885742188
W-2_RB4-_B_S06,95.90164184570312
W-2_RB4-_F_S06,85.89743041992188
W-2_RB4+_B_S06,95.45454406738281
W-2_RB4+_F_S06,100.0
W-2_RB4--_B_S06,0.0
W-2_RB4--_F_S06,0.0
W-2_RB4++_B_S06,0.0
W-2_RB4++_F_S06,0.0
W-2_RB1in_B_S07,97.0989761352539
W-2_RB1in_F_S07,98.1859359741211
W-2_RB1out_B_S07,97.39884185791016
W-2_RB1out_F_S07,98.99193572998047
W-2_RB2in_B_S07,99.11504364013672
W-2_RB2in_F_S07,82.27513122558594
W-2_RB2out_M_S07,97.70992279052734
W-2_RB2out_B_S07,98.29424285888672
W-2_RB2out_F_S07,96.89655303955078
W-2_RB3-_B_S07,96.0
W-2_RB3-_F_S07,98.31932830810547
W-2_RB3+_B_S07,96.59442901611328
W-2_RB3+_F_S07,96.42857360839844
W-2_RB4-_B_S07,0.0
W-2_RB4-_F_S07,0.0
W-2_RB4+_B_S07,100.0
W-2_RB4+_F_S07,100.0
W-2_RB4--_B_S07,0.0
W-2_RB4--_F_S07,0.0
W-2_RB4++_B_S07,0.0
W-2_RB4++_F_S07,0.0
W-2_RB1in_B_S08,98.10017395019531
W-2_RB1in_F_S08,94.82352447509766
W-2_RB1out_B_S08,79.0346908569336
W-2_RB1out_F_S08,86.0040512084961
W-2_RB2in_B_S08,97.54179382324219
W-2_RB2in_F_S08,96.94444274902344
W-2_RB2out_M_S08,97.57942199707031
W-2_RB2out_B_S08,98.4375
W-2_RB2out_F_S08,98.07691955566406
W-2_RB3-_B_S08,98.54369354248047
W-2_RB3-_F_S08,97.6190414428711
W-2_RB3+_B_S08,97.96511840820312
W-2_RB3+_F_S08,98.23529052734375
W-2_RB4-_B_S08,91.30435180664062
W-2_RB4-_F_S08,93.75
W-2_RB4+_B_S08,0.0
W-2_RB4+_F_S08,0.0
W-2_RB4--_B_S08,0.0
W-2_RB4--_F_S08,0.0
W-2_RB4++_B_S08,0.0
W-2_RB4++_F_S08,0.0
W-2_RB1in_B_S09,94.41624450683594
W-2_RB1in_F_S09,95.79158782958984
W-2_RB1out_B_S09,96.79299926757812
W-2_RB1out_F_S09,97.95539093017578
W-2_RB2in_B_S09,98.90328979492188
W-2_RB2in_F_S09,95.7507095336914
W-2_RB2out_M_S09,96.69811248779297
W-2_RB2out_B_S09,96.5675048828125
W-2_RB2out_F_S09,96.35626983642578
W-2_RB3-_B_S09,97.6401138305664
W-2_RB3-_F_S09,98.14814758300781
W-2_RB3+_B_S09,92.59259033203125
W-2_RB3+_F_S09,97.8723373413086
W-2_RB4-_B_S09,99.13793182373047
W-2_RB4-_F_S09,95.68965148925781
W-2_RB4+_B_S09,0.0
W-2_RB4+_F_S09,0.0
W-2_RB4--_B_S09,0.0
W-2_RB4--_F_S09,0.0
W-2_RB4++_B_S09,0.0
W-2_RB4++_F_S09,0.0
W-2_RB1in_B_S10,96.29032135009766
W-2_RB1in_F_S10,96.88888549804688
W-2_RB1out_B_S10,89.7727279663086
W-2_RB1out_F_S10,97.77777862548828
W-2_RB2in_B_S10,99.21337127685547
W-2_RB2in_F_S10,98.86039733886719
W-2_RB2out_M_S10,97.53845977783203
W-2_RB2out_B_S10,100.0
W-2_RB2out_F_S10,98.74476623535156
W-2_RB3-_B_S10,91.01382446289062
W-2_RB3-_F_S10,89.52879333496094
W-2_RB3+_B_S10,97.8056411743164
W-2_RB3+_F_S10,96.56084442138672
W-2_RB4-_B_S10,95.90164184570312
