chamber,fid_eff_ch_level
W-2_RB1in_S01,96.23674774169922
W-2_RB1out_S01,97.53363800048828
W-2_RB2in_S01,98.10076904296875
W-2_RB2out_S01,98.53038024902344
W-2_RB3-_S01,97.9596176147461
W-2_RB3+_S01,98.2609634399414
W-2_RB4-_S01,0.0
W-2_RB4+_S01,92.85714340209961
W-2_RB4--_S01,0.0
W-2_RB4++_S01,0.0
W-2_RB1in_S02,95.47955322265625
W-2_RB1out_S02,97.17981719970703
W-2_RB2in_S02,97.99140548706055
W-2_RB2out_S02,98.2690938313802
W-2_RB3-_S02,96.88744735717773
W-2_RB3+_S02,0.0
W-2_RB4-_S02,92.88720321655273
W-2_RB4+_S02,96.39834213256836
W-2_RB4--_S02,0.0
W-2_RB4++_S02,0.0
W-2_RB1in_S03,97.38428115844727
W-2_RB1out_S03,97.89794921875
W-2_RB2in_S03,94.45046615600586
W-2_RB2out_S03,97.7257817586263
W-2_RB3-_S03,0.0
W-2_RB3+_S03,87.56491088867188
W-2_RB4-_S03,90.65299606323242
W-2_RB4+_S03,96.38603973388672
W-2_RB4--_S03,0.0
W-2_RB4++_S03,0.0
W-2_RB1in_S04,97.16326522827148
W-2_RB1out_S04,97.3980712890625
W-2_RB2in_S04,96.99301147460938
W-2_RB2out_S04,93.78355662027995
W-2_RB3-_S04,96.61690521240234
W-2_RB3+_S04,99.21957397460938
W-2_RB4-_S04,0.0
W-2_RB4+_S04,97.21871566772461
W-2_RB4--_S04,96.12268447875977
W-2_RB4++_S04,90.81571197509766
W-2_RB1in_S05,97.21142196655273
W-2_RB1out_S05,97.32509994506836
W-2_RB2in_S05,95.11437225341797
W-2_RB2out_S05,98.11909739176433
W-2_RB3-_S05,97.33819198608398
W-2_RB3+_S05,96.79633331298828
W-2_RB4-_S05,0.0
W-2_RB4+_S05,95.36608505249023
W-2_RB4--_S05,0.0
W-2_RB4++_S05,0.0
W-2_RB1in_S06,97.20308303833008
W-2_RB1out_S06,97.61190414428711
W-2_RB2in_S06,98.79310607910156
W-2_RB2out_S06,98.47133890787761
W-2_RB3-_S06,97.21610260009766
W-2_RB3+_S06,98.00876998901367
W-2_RB4-_S06,95.1534423828125
W-2_RB4+_S06,92.60249710083008
W-2_RB4--_S06,0.0
W-2_RB4++_S06,0.0
W-2_RB1in_S07,96.37353134155273
W-2_RB1out_S07,98.04972076416016
W-2_RB2in_S07,90.99738311767578
W-2_RB2out_S07,98.21702829996745
W-2_RB3-_S07,98.01918029785156
W-2_RB3+_S07,96.96662902832031
W-2_RB4-_S07,0.0
W-2_RB4+_S07,94.79823684692383
W-2_RB4--_S07,0.0
W-2_RB4++_S07,0.0
W-2_RB1in_S08,94.92862701416016
W-2_RB1out_S08,82.01601791381836
W-2_RB2in_S08,97.06789016723633
W-2_RB2out_S08,98.27649943033855
W-2_RB3-_S08,98.37684631347656
W-2_RB3+_S08,98.59331893920898
W-2_RB4-_S08,90.20973587036133
W-2_RB4+_S08,0.0
W-2_RB4--_S08,0.0
W-2_RB4++_S08,0.0
W-2_RB1in_S09,95.73758697509766
W-2_RB1out_S09,97.17700958251953
W-2_RB2in_S09,97.47629928588867
W-2_RB2out_S09,96.53888193766277
W-2_RB3-_S09,98.30122756958008
W-2_RB3+_S09,94.74765396118164
W-2_RB4_S09,96.3873519897461
W-2_RB4+_S09,0.0
W-2_RB4--_S09,0.0
W-2_RB4++_S09,0.0
W-2_RB1in_S10,96.97052383422852
W-2_RB1out_S10,95.03075790405273
W-2_RB2in_S10,98.8974380493164
W-2_RB2out_S10,98.10405985514323
W-2_RB3-_S10,91.64231491088867
W-2_RB3+_S10,97.97614669799805
W-2_RB4-_S10,97.11555862426758
W-2_RB4+_S10,97.70947647094727
W-2_RB4--_S10,0.0
W-2_RB4++_S10,0.0
W-2_RB1in_S11,88.6429557800293
W-2_RB1out_S11,96.28263854980469
W-2_RB2in_S11,97.84422302246094
W-2_RB2out_S11,98.39168294270833
W-2_RB3-_S11,97.68881607055664
W-2_RB3+_S11,98.38319396972656
W-2_RB4_S11,97.76039505004883
W-2_RB4+_S11,0.0
W-2_RB4--_S11,0.0
W-2_RB4++_S11,0.0
W-2_RB1in_S12,97.01811599731445
W-2_RB1out_S12,96.94682312011719
W-2_RB2in_S12,96.26053619384766
W-2_RB2out_S12,98.10434214274089
W-2_RB3-_S12,99.60456848144531
W-2_RB3+_S12,0.0
W-2_RB4-_S12,98.83243179321289
W-2_RB4+_S12,97.96232604980469
W-2_RB4--_S12,0.0
W-2_RB4++_S12,0.0
W-1_RB1in_S01,97.46306991577148
W-1_RB1out_S01,97.84117126464844
W-1_RB2in_S01,97.74099477132161
W-1_RB2out_S01,96.15640640258789
W-1_RB3-_S01,0.0
W-1_RB3+_S01,0.0
W-1_RB4-_S01,0.0
W-1_RB4+_S01,97.85151290893555
W-1_RB4--_S01,0.0
W-1_RB4++_S01,0.0
W-1_RB1in_S02,95.5290412902832
W-1_RB1out_S02,95.2276611328125
W-1_RB2in_S02,98.19542185465495
W-1_RB2out_S02,95.27061462402344
W-1_RB3-_S02,96.47695922851562
W-1_RB3+_S02,97.89995956420898
