chamber,contains_zero_roll,rolls_count,fid_eff_ch_level
W-2_RB1in_S01,0,2,95.50707626342773
W-2_RB1out_S01,0,2,97.51977920532227
W-2_RB2in_S01,0,2,97.91340255737305
W-2_RB2out_S01,0,3,98.26816304524739
W-2_RB3-_S01,0,2,98.45500564575195
W-2_RB3+_S01,0,2,98.2964859008789
W-2_RB4-_S01,1,2,0.0
W-2_RB4+_S01,0,2,100.0
W-2_RB4--_S01,1,2,0.0
W-2_RB4++_S01,1,2,0.0
W-2_RB1in_S02,0,2,96.31340408325195
W-2_RB1out_S02,0,2,97.51980590820312
W-2_RB2in_S02,0,2,98.40544891357422
W-2_RB2out_S02,0,3,98.51660664876302
W-2_RB3-_S02,0,2,97.13460540771484
W-2_RB3+_S02,1,2,0.0
W-2_RB4-_S02,0,2,95.23809432983398
W-2_RB4+_S02,0,2,98.28767013549805
W-2_RB4--_S02,1,2,0.0
W-2_RB4++_S02,1,2,0.0
W-2_RB1in_S03,0,2,96.863525390625
W-2_RB1out_S03,0,2,98.23822402954102
W-2_RB2in_S03,0,2,93.85053634643555
W-2_RB2out_S03,0,3,97.63401794433594
W-2_RB3-_S03,1,2,0.0
W-2_RB3+_S03,0,2,87.12422943115234
W-2_RB4-_S03,0,2,91.65493774414062
W-2_RB4+_S03,0,2,96.72306442260742
W-2_RB4--_S03,1,2,0.0
W-2_RB4++_S03,1,2,0.0
W-2_RB1in_S04,0,2,96.40450286865234
W-2_RB1out_S04,0,2,98.08895492553711
W-2_RB2in_S04,0,2,97.32723236083984
W-2_RB2out_S04,0,3,93.42108662923177
W-2_RB3-_S04,0,2,96.05235290527344
W-2_RB3+_S04,0,2,99.27884674072266
W-2_RB4-_S04,1,2,0.0
W-2_RB4+_S04,0,2,97.44453048706055
W-2_RB4--_S04,0,2,97.84688949584961
W-2_RB4++_S04,0,2,88.32687759399414
W-2_RB1in_S05,0,2,97.25202560424805
W-2_RB1out_S05,0,2,97.50712585449219
W-2_RB2in_S05,0,2,95.11682510375977
W-2_RB2out_S05,0,3,98.55069732666016
W-2_RB3-_S05,0,2,97.16612243652344
W-2_RB3+_S05,0,2,96.13860702514648
W-2_RB4-_S05,1,2,0.0
W-2_RB4+_S05,0,2,95.19277572631836
W-2_RB4--_S05,1,2,0.0
W-2_RB4++_S05,1,2,0.0
W-2_RB1in_S06,0,2,97.09415435791016
W-2_RB1out_S06,0,2,97.60862350463867
W-2_RB2in_S06,0,2,98.6521110534668
W-2_RB2out_S06,0,3,98.65452067057292
W-2_RB3-_S06,0,2,96.84491348266602
W-2_RB3+_S06,0,2,98.39947509765625
W-2_RB4-_S06,0,2,95.72818756103516
W-2_RB4+_S06,0,2,100.0
W-2_RB4--_S06,1,2,0.0
W-2_RB4++_S06,1,2,0.0
W-2_RB1in_S07,0,2,97.67197799682617
W-2_RB1out_S07,0,2,98.33903121948242
W-2_RB2in_S07,0,2,91.60237884521484
W-2_RB2out_S07,0,3,98.51188151041667
W-2_RB3-_S07,0,2,97.94517135620117
W-2_RB3+_S07,0,2,96.98604583740234
W-2_RB4-_S07,1,2,0.0
W-2_RB4+_S07,0,2,100.0
W-2_RB4--_S07,1,2,0.0
W-2_RB4++_S07,1,2,0.0
W-2_RB1in_S08,0,2,94.36381530761719
W-2_RB1out_S08,0,2,81.5109977722168
W-2_RB2in_S08,0,2,98.03474807739258
W-2_RB2out_S08,0,3,98.01760864257812
W-2_RB3-_S08,0,2,97.64191436767578
W-2_RB3+_S08,0,2,99.26035690307617
W-2_RB4-_S08,0,2,90.21164321899414
W-2_RB4+_S08,1,2,0.0
W-2_RB4--_S08,1,2,0.0
W-2_RB4++_S08,1,2,0.0
W-2_RB1in_S09,0,2,95.92724227905273
W-2_RB1out_S09,0,2,97.59120559692383
W-2_RB2in_S09,0,2,97.787109375
W-2_RB2out_S09,0,3,96.02589925130208
W-2_RB3-_S09,0,2,98.05684661865234
W-2_RB3+_S09,0,2,95.30912780761719
W-2_RB4_S09,0,2,95.52661514282227
W-2_RB4+_S09,1,2,0.0
W-2_RB4--_S09,1,2,0.0
W-2_RB4++_S09,1,2,0.0
W-2_RB1in_S10,0,2,96.94202041625977
W-2_RB1out_S10,0,2,95.20842361450195
W-2_RB2in_S10,0,2,99.1874885559082
W-2_RB2out_S10,0,3,98.46295420328777
W-2_RB3-_S10,0,2,92.56541061401367
W-2_RB3+_S10,0,2,98.60654067993164
